condition_key,w_inter,trial_idx,seed,a_hat_value
WT,4.0,,,0.06343224450417827
WT,4.0,,,0.020106363044930874
WT,4.0,,,0.1471516281017903
WT,4.0,,,0.03259626396342028
WT,4.0,,,0.0385630636181749
WT,4.0,,,0.062228404204989034
WT,4.0,,,0.06093217204902258
WT,4.0,,,0.05512439699648047
WT,4.0,,,0.048356919069173596
WT,4.0,,,0.018593772129869752
WT,4.0,,,0.1363068721905876
WT,4.0,,,0.06544567500429643
WT,4.0,,,0.09987276744116051
WT,4.0,,,0.041411177042426466
WT,4.0,,,0.06512993002747756
WT,4.0,,,0.07458966844800882
WT,4.0,,,0.08816870317072419
WT,4.0,,,0.06642372881866408
WT,4.0,,,0.07332608741015932
WT,4.0,,,0.06172704521524492
WT,4.0,,,0.062228404204989034
WT,4.0,,,0.019519421141068662
WT,4.0,,,0.0935708365743578
WT,4.0,,,0.02403875136260822
WT,4.0,,,0.06700738006907436
WT,4.0,,,0.05667255046098083
WT,4.0,,,0.0766475133240436
WT,4.0,,,0.09637069027452956
WT,4.0,,,0.06867218612138547
WT,4.0,,,0.06966126067557862
WT,4.0,,,0.028708452541562887
WT,4.0,,,0.07408624610908261
WT,4.0,,,0.05957324867689781
WT,4.0,,,0.04903660914670186
WT,4.0,,,0.1350398251165591
WT,4.0,,,0.05200865950638847
WT,4.0,,,0.019519421141068662
WT,4.0,,,0.06735654822611327
WT,4.0,,,0.035058176445168295
WT,4.0,,,0.06861631814901616
WT,4.0,,,0.09735554519757413
WT,4.0,,,0.11104084299625021
WT,4.0,,,0.05305974228396774
WT,4.0,,,0.04205782202721463
WT,4.0,,,0.04027143994818555
WT,4.0,,,0.05219007412766998
WT,4.0,,,0.0264208956588686
WT,4.0,,,0.04358383872851297
WT,4.0,,,0.061625533611453724
WT,4.0,,,0.030782559085963394
WT,4.0,,,0.05740028128123373
WT,4.0,,,0.09003929304906697
WT,4.0,,,0.06735654822611327
WT,4.0,,,0.08644135044155254
WT,4.0,,,0.07962111223270005
WT,4.0,,,0.02453494206046703
WT,4.0,,,0.0878869577119618
WT,4.0,,,0.03639148662559993
WT,4.0,,,0.011835248069464743
WT,4.0,,,0.09949928095299684
WT,4.0,,,0.06321417980252911
WT,4.0,,,0.01408370739562898
WT,4.0,,,0.03759365675963079
WT,4.0,,,0.0833016856930415
WT,4.0,,,0.008707302253235856
WT,4.0,,,0.02669079423694843
WT,4.0,,,0.05683337783541349
WT,4.0,,,0.03454789585687638
WT,4.0,,,0.08644135044155254
WT,4.0,,,0.03730609828146478
WT,4.0,,,0.019142414614833052
WT,4.0,,,0.03633095027908566
WT,4.0,,,0.01939995325707918
WT,4.0,,,0.0928695618740831
WT,4.0,,,0.07433100337530951
WT,4.0,,,0.07790131841846357
WT,4.0,,,0.056583363686774815
WT,4.0,,,0.11161950167587392
WT,4.0,,,0.09933029828529087
WT,4.0,,,0.07547645234695015
WT,4.0,,,0.09208503084857651
WT,4.0,,,0.0948713125197646
WT,4.0,,,0.009108730991352237
WT,4.0,,,0.09304834490350458
WT,4.0,,,0.03730609828146478
WT,4.0,,,0.05041596083402759
WT,4.0,,,0.05443399050138088
WT,4.0,,,0.0069066350211246215
WT,4.0,,,0.03781611170501989
WT,4.0,,,0.05716089595407943
WT,4.0,,,0.03104867786124096
WT,4.0,,,0.09308371368956786
WT,4.0,,,0.041904194418402686
WT,4.0,,,0.0506198198867493
WT,4.0,,,0.02416385716184454
WT,4.0,,,0.0727394949020436
WT,4.0,,,0.08107537910215694
WT,4.0,,,0.049186890395789384
WT,4.0,,,0.08856136456554983
WT,4.0,,,0.04971446443550089
WT,4.0,,,0.05041596083402759
WT,4.0,,,0.012750704760867803
WT,4.0,,,0.04430173028181694
WT,4.0,,,0.05271742996427768
WT,4.0,,,0.03577041609976009
WT,4.0,,,0.05348295256065858
WT,4.0,,,0.06947054065931277
WT,4.0,,,0.06792216150393462
WT,4.0,,,0.025470242336089192
WT,4.0,,,0.06679394018105446
WT,4.0,,,0.07363750186765199
WT,4.0,,,0.10563630399915094
WT,4.0,,,0.0735234171712623
WT,4.0,,,0.09080955070451896
WT,4.0,,,0.033865701038957446
WT,4.0,,,0.1263535629492803
WT,4.0,,,0.012750704760867803
WT,4.0,,,0.10712617495995974
WT,4.0,,,0.041070569071037885
WT,4.0,,,0.04217505140944198
WT,4.0,,,0.03391286704891678
WT,4.0,,,0.01303027877512303
WT,4.0,,,0.06994163994941299
WT,4.0,,,0.0915322211222181
WT,4.0,,,0.02461520543303257
WT,4.0,,,0.056477582834464156
WT,4.0,,,0.027058868637930836
WT,4.0,,,0.06454803813962033
WT,4.0,,,0.09222452226624814
WT,4.0,,,0.021839346534852228
WT,4.0,,,0.026165333105095667
WT,4.0,,,0.03907524534718052
WT,4.0,,,0.10712617495995974
WT,4.0,,,0.08917156253961454
WT,4.0,,,0.009929023826814144
