condition,trial_idx,seed,cue_deg,pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,snap_cue
WT_APP,67,795556160,180.0,-0.005235978757340547,-0.0005016400197637976,5000.0,30.0,0,0
WT_APP,68,163945743,180.0,-0.0312954002846755,-0.00674415657878809,5000.0,30.0,0,0
WT_APP,69,1008363426,180.0,-0.003608131158769752,-0.0033981559054799145,5000.0,30.0,0,0
WT_APP,70,1708709735,180.0,-0.005282516524113938,0.007747609553990346,5000.0,30.0,0,0
WT_APP,71,406886644,180.0,0.021348333857033643,0.0028526444419750938,5000.0,30.0,0,0
WT_APP,72,994157306,180.0,0.02596580009726306,-0.010110168277258497,5000.0,30.0,0,0
WT_APP,73,279004307,180.0,-0.023761461390239207,-0.011167950549220998,5000.0,30.0,0,0
WT_APP,74,1474200731,180.0,-0.02355752058903355,-0.008197193651608588,5000.0,30.0,0,0
WT_APP,75,1021568549,180.0,-0.021763837808116734,0.0005377418480134563,5000.0,30.0,0,0
WT_APP,76,709091226,180.0,0.0025759390422298713,0.004888321183495836,5000.0,30.0,0,0
WT_APP,77,487284116,180.0,0.0016846818719794903,0.0057914057001787166,5000.0,30.0,0,0
WT_APP,78,1212254290,180.0,-0.023075160996824683,-0.00020845352278052383,5000.0,30.0,0,0
WT_APP,79,1438414599,180.0,-0.04099111299141493,-0.007399393141986699,5000.0,30.0,0,0
WT_APP,80,2019291964,180.0,-0.0009350737413189427,-0.011456150349609479,5000.0,30.0,0,0
WT_APP,81,938776596,180.0,-0.021180757473875468,-0.0046377858031855556,5000.0,30.0,0,0
WT_APP,82,345075200,180.0,-0.016266146954856796,-0.007196852247395942,5000.0,30.0,0,0
WT_APP,83,1788162809,180.0,-0.016577807897307034,-0.00498913629877089,5000.0,30.0,0,0
WT_APP,84,1352408538,180.0,0.00026261300132443896,-0.004949397040760176,5000.0,30.0,0,0
WT_APP,85,1503807854,180.0,-0.0032707246510057684,-0.005346376763214806,5000.0,30.0,0,0
WT_APP,86,208792607,180.0,-0.02929169290981397,-0.005674217219220233,5000.0,30.0,0,0
WT_APP,87,670802254,180.0,0.011403066117430765,-0.002861664728706023,5000.0,30.0,0,0
WT_APP,88,1648932249,180.0,-0.027044578552156816,-0.00372593988966234,5000.0,30.0,0,0
WT_APP,89,1787264313,180.0,0.005760412645010609,-0.0002469966105994537,5000.0,30.0,0,0
WT_APP,90,934620676,180.0,-0.00714056683097383,-0.005844122745293635,5000.0,30.0,0,0
WT_APP,91,1728218297,180.0,0.00678402700633669,-0.0012848579880943602,5000.0,30.0,0,0
WT_APP,92,1807519524,180.0,-0.013265662132873819,-0.008881898835466898,5000.0,30.0,0,0
WT_APP,93,832103482,180.0,-0.013433638024737262,0.004199406689399313,5000.0,30.0,0,0
WT_APP,94,1928628490,180.0,-0.0006457933831932175,-0.005832756201844664,5000.0,30.0,0,0
WT_APP,95,619179887,180.0,0.013867494878593744,-0.005487568252277445,5000.0,30.0,0,0
WT_APP,96,514446424,180.0,0.005490789474553804,0.001163838700797879,5000.0,30.0,0,0
WT_APP,97,1465647933,180.0,-0.0209323833568115,-0.00325603476975103,5000.0,30.0,0,0
WT_APP,98,1367435607,180.0,-0.03132761670405934,-0.005891091529636863,5000.0,30.0,0,0
WT_APP,99,300116172,180.0,-0.022226921821085373,-0.007317252016339124,5000.0,30.0,0,0
a7_KO_APP,0,191664963,180.0,0.013597580380598696,-0.06661460720120574,5000.0,30.0,0,0
a7_KO_APP,1,1662057957,180.0,0.007913255398174099,-0.009959711168508882,5000.0,30.0,0,0
a7_KO_APP,2,1405681631,180.0,0.025668559372603636,0.044173110221195654,5000.0,30.0,0,0
a7_KO_APP,3,942484272,180.0,0.024437005793170253,0.05871164397901187,5000.0,30.0,0,0
a7_KO_APP,4,929893137,180.0,-0.018766301130154414,-6.703784129830256e-05,5000.0,30.0,0,0
a7_KO_APP,5,1843824992,180.0,-0.02765267027066463,0.007989174451344238,5000.0,30.0,0,0
a7_KO_APP,6,184566854,180.0,-0.004987740947804725,0.01728286955267768,5000.0,30.0,0,0
a7_KO_APP,7,1497586438,180.0,-0.009578084413650816,-0.02209073675471014,5000.0,30.0,0,0
a7_KO_APP,8,432652533,180.0,-0.0007656825123496796,-0.039588513631748846,5000.0,30.0,0,0
a7_KO_APP,9,202244314,180.0,-0.018858502037480216,0.0032903159884886575,5000.0,30.0,0,0
a7_KO_APP,10,1130604997,180.0,-0.024212715832885975,-0.046395760627504626,5000.0,30.0,0,0
a7_KO_APP,11,2095133045,180.0,0.03704410610436091,0.021074171700084566,5000.0,30.0,0,0
a7_KO_APP,12,1580016183,180.0,-0.035712553194691264,-0.04315788874307511,5000.0,30.0,0,0
a7_KO_APP,13,1634535062,180.0,-0.031756308888261836,-0.0508450154537685,5000.0,30.0,0,0
a7_KO_APP,14,1540770719,180.0,-0.008252157630297526,-0.057127845180958425,5000.0,30.0,0,0
a7_KO_APP,15,1688060240,180.0,0.04063964240942222,0.06890825975879587,5000.0,30.0,0,0
a7_KO_APP,16,1102145672,180.0,0.002095463622372751,0.07196914483334066,5000.0,30.0,0,0
a7_KO_APP,17,275121930,180.0,0.012814058583594001,-0.015207710526259724,5000.0,30.0,0,0
a7_KO_APP,18,1803345590,180.0,-0.02735506176231233,-0.035918520350817634,5000.0,30.0,0,0
a7_KO_APP,19,967196436,180.0,0.050423345459570036,0.013425112089886197,5000.0,30.0,0,0
a7_KO_APP,20,1074497555,180.0,-0.0003571949613957269,0.009321885056423234,5000.0,30.0,0,0
a7_KO_APP,21,796282693,180.0,-0.01987031424866499,0.006131885849412285,5000.0,30.0,0,0
a7_KO_APP,22,392022359,180.0,-0.01726273853072269,-0.006089468725933846,5000.0,30.0,0,0
a7_KO_APP,23,1990212658,180.0,0.024576143826762032,0.04033528744213742,5000.0,30.0,0,0
a7_KO_APP,24,1678403330,180.0,0.0026022033860108535,0.08693153836834018,5000.0,30.0,0,0
a7_KO_APP,25,1382689815,180.0,0.027813594479155494,0.009539231455592486,5000.0,30.0,0,0
a7_KO_APP,26,864178266,180.0,-0.026600916345019,-0.014938605815437518,5000.0,30.0,0,0
a7_KO_APP,27,1766867109,180.0,0.035707418581412624,0.036881384999338074,5000.0,30.0,0,0
a7_KO_APP,28,1171300112,180.0,-0.02208623927762667,-0.03190015955475953,5000.0,30.0,0,0
a7_KO_APP,29,952224740,180.0,0.034435102282128066,0.10397308667872192,5000.0,30.0,0,0
a7_KO_APP,30,967354524,180.0,-0.010967322751904056,0.023030973667232096,5000.0,30.0,0,0
a7_KO_APP,31,487991438,180.0,-0.04965544512766607,-0.0024057953950511056,5000.0,30.0,0,0
a7_KO_APP,32,197860368,180.0,-0.011774568434657264,0.0384339305414752,5000.0,30.0,0,0
a7_KO_APP,33,1190961760,180.0,-0.02662736267562075,-0.0371536654041827,5000.0,30.0,0,0
a7_KO_APP,34,1906728918,180.0,0.022298012958365067,-0.03246110511716318,5000.0,30.0,0,0
a7_KO_APP,35,137046513,180.0,-0.031957865082859846,-0.0099781917411174,5000.0,30.0,0,0
