condition,trial_idx,seed,cue_deg,pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,snap_cue
a7_KO_APP,36,1843166518,180.0,0.011363554376483308,-0.015970356619036848,5000.0,30.0,0,0
a7_KO_APP,37,1777324407,180.0,-0.006678253343487646,0.002569057206631038,5000.0,30.0,0,0
a7_KO_APP,38,594336917,180.0,-0.01146121531685674,-0.07091655793655623,5000.0,30.0,0,0
a7_KO_APP,39,1356488967,180.0,0.03087047996883868,0.06185536365226731,5000.0,30.0,0,0
a7_KO_APP,40,354826746,180.0,-0.07262760236665072,-0.0836987969294661,5000.0,30.0,0,0
a7_KO_APP,41,1627981024,180.0,0.00017745733719962644,0.04769587859939074,5000.0,30.0,0,0
a7_KO_APP,42,1504361614,180.0,0.00936002103967806,0.01757649359065929,5000.0,30.0,0,0
a7_KO_APP,43,761338718,180.0,0.009430731801276562,0.007022217688302009,5000.0,30.0,0,0
a7_KO_APP,44,145857092,180.0,0.006331920341731579,0.04111609031008293,5000.0,30.0,0,0
a7_KO_APP,45,2084558133,180.0,-0.07370235663415935,-0.0580285192676465,5000.0,30.0,0,0
a7_KO_APP,46,957106589,180.0,-0.01999142348920699,-0.034136291366337126,5000.0,30.0,0,0
a7_KO_APP,47,1917963002,180.0,0.025041294495319045,0.05917519706030819,5000.0,30.0,0,0
a7_KO_APP,48,1455819991,180.0,-0.013027558211726156,0.001633544443000547,5000.0,30.0,0,0
a7_KO_APP,49,1671565830,180.0,0.026893672450073312,0.040424932336425516,5000.0,30.0,0,0
a7_KO_APP,50,1631871623,180.0,0.0005285262772218474,-0.007045042705663838,5000.0,30.0,0,0
a7_KO_APP,51,417983441,180.0,-0.011138603940050456,0.011463695038715391,5000.0,30.0,0,0
a7_KO_APP,52,781482251,180.0,-0.01848070405318787,-0.014777336585849008,5000.0,30.0,0,0
a7_KO_APP,53,1002275723,180.0,-0.013002453333165756,-0.03721114735048502,5000.0,30.0,0,0
a7_KO_APP,54,1068999196,180.0,-0.02777701315966969,0.024879741754476555,5000.0,30.0,0,0
a7_KO_APP,55,94067870,180.0,0.020986893211279015,-0.018231335903121274,5000.0,30.0,0,0
a7_KO_APP,56,1173749071,180.0,-0.04761614520230031,-0.03679784318492004,5000.0,30.0,0,0
a7_KO_APP,57,331334160,180.0,0.025660153780077556,0.02113895529696532,5000.0,30.0,0,0
a7_KO_APP,58,1596387604,180.0,-0.0009482444879161212,0.0002399531466290531,5000.0,30.0,0,0
a7_KO_APP,59,1466836456,180.0,-0.010539404041285368,0.027565046503404637,5000.0,30.0,0,0
a7_KO_APP,60,1981113449,180.0,0.01210371211098906,-0.01812092757564557,5000.0,30.0,0,0
a7_KO_APP,61,1599364550,180.0,-0.024228757321401163,-0.04432180439278431,5000.0,30.0,0,0
a7_KO_APP,62,787359109,180.0,-0.0210731997578932,0.03419946999003601,5000.0,30.0,0,0
a7_KO_APP,63,2077711328,180.0,0.0037166764898321656,0.04915597323197818,5000.0,30.0,0,0
a7_KO_APP,64,882294416,180.0,0.00823482358340211,0.041240589786389587,5000.0,30.0,0,0
a7_KO_APP,65,699704628,180.0,-0.02614278997234677,-0.03395395783370763,5000.0,30.0,0,0
a7_KO_APP,66,1944623248,180.0,0.029355650144401488,0.08110007042659508,5000.0,30.0,0,0
a7_KO_APP,67,795556160,180.0,-0.044694710992970996,-0.08156551641307007,5000.0,30.0,0,0
a7_KO_APP,68,163945743,180.0,-0.06192054735541827,-0.03416865931244304,5000.0,30.0,0,0
a7_KO_APP,69,1008363426,180.0,-0.02923619131957296,-0.002862621783885125,5000.0,30.0,0,0
a7_KO_APP,70,1708709735,180.0,-0.02079027207532885,-0.035444542260601467,5000.0,30.0,0,0
a7_KO_APP,71,406886644,180.0,-0.03238532018611267,-0.03703072915899956,5000.0,30.0,0,0
a7_KO_APP,72,994157306,180.0,-0.0029899771107784645,-0.044863577028585434,5000.0,30.0,0,0
a7_KO_APP,73,279004307,180.0,-0.004844636052418844,-0.05011265169233781,5000.0,30.0,0,0
a7_KO_APP,74,1474200731,180.0,-0.0040016034934524216,0.007312917996852652,5000.0,30.0,0,0
a7_KO_APP,75,1021568549,180.0,-0.009712472799161691,-0.058363205294979625,5000.0,30.0,0,0
