offset_deg,amp_factor,trial_idx,displacement_deg,pre_amp,post_amp
20.0,0.5,9,-1.4199838069822388,0.35466624771712657,0.2591816632840986
20.0,0.5,8,-4.892655225762148,0.35050866056334906,0.23825382151786664
20.0,0.75,0,-0.7962496736345135,0.3334814202961932,0.1666918800171822
20.0,0.75,1,-7.026211216898563,0.3319547427044478,0.2073686360425377
20.0,0.75,2,-4.139539424644971,0.33149778983500455,0.2354006420155045
20.0,0.75,3,0.9727490153736008,0.3135190313898682,0.19155339697436566
20.0,0.75,4,-4.898720823481563,0.3786308716202599,0.18857609578636653
20.0,0.75,5,-10.750414450763223,0.327596243186111,0.15696897719561345
20.0,0.75,6,-23.883415191728425,0.312751996050056,0.17705290915271052
20.0,0.75,7,-6.730989375530794,0.30064608080875965,0.19609280038690338
20.0,0.75,8,-10.124245847436097,0.35050866056334906,0.1836509222056267
20.0,0.75,9,-8.043455482838409,0.35466624771712657,0.189150101589696
20.0,1.0,0,-3.3352769509304507,0.3334814202961932,0.13595468687974563
20.0,1.0,1,-9.819797933683974,0.3319547427044478,0.17729480494568017
20.0,1.0,2,-6.318850144274994,0.33149778983500455,0.19616493452217784
20.0,1.0,3,-1.7301828972460798,0.3135190313898682,0.15686767969614313
20.0,1.0,4,-8.282562512323313,0.3786308716202599,0.15306549627467775
20.0,1.0,5,-13.252082718309907,0.327596243186111,0.1310672814156523
20.0,1.0,6,-31.465384108247832,0.312751996050056,0.1541564994971119
20.0,1.0,7,-9.731548997698473,0.30064608080875965,0.16300421485123642
20.0,1.0,9,-13.541551568634754,0.35466624771712657,0.1440587015176256
20.0,1.25,0,-4.432970413900687,0.3334814202961932,0.11966432421727402
20.0,1.0,8,-13.786207278777853,0.35050866056334906,0.15459867437780903
20.0,1.25,1,-11.120762528685036,0.3319547427044478,0.1596595385716012
