phenotype,category,ko_count,run_idx,PYR,SOM,PV,VIP,NDNF
NDNF β2,prediction,1,29,1.52916,1.09176,1.4492,4.41248,2.24808
NDNF β2,prediction,1,30,1.5072,1.08881,1.44743,4.39708,2.23551
NDNF β2,prediction,1,31,1.5385,1.09278,1.45008,4.41726,2.25056
NDNF β2,prediction,1,32,1.54541,1.09343,1.45008,4.41946,2.25426
NDNF β2,prediction,1,33,1.51275,1.08964,1.44737,4.40137,2.24149
NDNF β2,prediction,1,34,1.49471,1.08477,1.44323,4.38132,2.22779
NDNF β2,prediction,1,35,1.50745,1.08689,1.44482,4.39336,2.23665
NDNF β2,prediction,1,36,1.51776,1.08903,1.44709,4.40082,2.24054
NDNF β2,prediction,1,37,1.52053,1.0899,1.44762,4.40509,2.24278
NDNF β2,prediction,1,38,1.51123,1.08757,1.44583,4.39548,2.2364
NDNF β2,prediction,1,39,1.49085,1.08397,1.44248,4.37922,2.22562
NDNF β2,prediction,1,40,1.50995,1.08755,1.44529,4.39553,2.23772
NDNF β2,prediction,1,41,1.49918,1.08449,1.44309,4.38122,2.2264
NDNF β2,prediction,1,42,1.5335,1.09177,1.44908,4.4135,2.24937
NDNF β2,prediction,1,43,1.51759,1.08906,1.44672,4.40073,2.24027
NDNF β2,prediction,1,44,1.50508,1.08601,1.44441,4.38572,2.22943
NDNF β2,prediction,1,45,1.50755,1.08729,1.44568,4.39502,2.23663
NDNF β2,prediction,1,46,1.50522,1.087,1.44476,4.39131,2.23684
NDNF β2,prediction,1,47,1.51533,1.08886,1.44682,4.39895,2.23929
NDNF β2,prediction,1,48,1.49042,1.08566,1.44436,4.38439,2.22934
NDNF β2,prediction,1,49,1.5183,1.08885,1.44635,4.40105,2.24111
PV α7 + SOM α7,prediction,2,0,1.92091,0.0149539,1.98852,3.54201,6.79371
PV α7 + SOM α7,prediction,2,1,1.89243,0.0148709,1.9754,3.52807,6.72884
PV α7 + SOM α7,prediction,2,2,1.93826,0.0149838,1.99154,3.5439,6.79769
PV α7 + SOM α7,prediction,2,3,1.91872,0.0149434,1.98683,3.54073,6.78102
PV α7 + SOM α7,prediction,2,4,1.92222,0.0149562,1.98453,3.5348,6.76528
PV α7 + SOM α7,prediction,2,5,1.92573,0.0149494,1.98643,3.54036,6.77757
PV α7 + SOM α7,prediction,2,6,1.92391,0.0149452,1.98531,3.53612,6.77272
PV α7 + SOM α7,prediction,2,7,1.95322,0.0150634,1.99661,3.54095,6.81939
PV α7 + SOM α7,prediction,2,8,1.92394,0.0149454,1.98769,3.54259,6.78536
PV α7 + SOM α7,prediction,2,9,1.91209,0.0149091,1.98299,3.53952,6.76152
PV α7 + SOM α7,prediction,2,10,1.90389,0.0149153,1.97976,3.53001,6.74309
PV α7 + SOM α7,prediction,2,11,1.89463,0.01487,1.97694,3.53257,6.73791
