condition_key,amplitude,trial_idx,seed,eval_time_ms,center_mean_deg,center_std_deg,amplitude_mean,width_mean_deg,drift_rate_deg_per_s,diffusion_deg2_per_s,error_from_cue_deg
b2_KO_APP,100.0,9,202244314,11350.0,182.58983208285278,6.010534537092444,0.12256848207038293,57.462573418759874,52.06380167986978,154.88442342475201,2.58983208285278
b2_KO_APP,100.0,9,202244314,11550.0,180.30572208517992,6.741970554916468,0.10150925744000963,57.41485657460743,-85.36457766320083,302.2539550193395,0.30572208517992294
b2_KO_APP,100.0,9,202244314,11750.0,180.38492045177736,6.571460811644754,0.11515657860886698,57.19329821229936,33.35071496781964,513.7429869048051,0.38492045177736145
b2_KO_APP,100.0,9,202244314,11950.0,183.743180056879,4.605093400150553,0.09975113347495596,57.52969719747007,30.860080105926073,242.06162920683644,3.743180056878998
b2_KO_APP,100.0,9,202244314,12150.0,180.26449402737967,9.018455286970648,0.07915168292101402,56.770819043344304,-11.901891000868545,532.0659433896478,0.2644940273796692
b2_KO_APP,100.0,9,202244314,12350.0,178.88050774594592,13.64439827528646,0.07360790757629808,56.51576316158429,-11.2282823713862,2903.3601663981813,1.1194922540540801
b2_KO_APP,100.0,9,202244314,12550.0,184.34949332384005,5.679090052846036,0.0715187252878274,56.17674355557883,58.23763374335499,518.5749086773164,4.349493323840051
b2_KO_APP,100.0,9,202244314,12750.0,177.60542426301578,20.335201533048856,0.05288763131106208,55.90434570681363,-90.56785316255372,7430.378094486184,2.3945757369842227
b2_KO_APP,100.0,9,202244314,12950.0,170.3397360730468,10.444073446730634,0.04573164635508884,56.19439589466032,49.568806682263045,1058.4365708515638,9.660263926953206
b2_KO_APP,100.0,9,202244314,13150.0,169.65851779567416,17.507586573764016,0.04386044065077057,55.426570737148076,-169.10697919235687,3598.4361264388854,10.341482204325843
b2_KO_APP,100.0,9,202244314,13350.0,170.26608359452771,23.263014996722994,0.036422633109860506,55.46896949907625,-126.99278439129664,6625.840160504704,9.733916405472286
b2_KO_APP,100.0,9,202244314,13550.0,180.80736994546487,29.623453030108312,0.03654242770462924,55.11000753438761,225.61377876334225,11292.805566472683,0.8073699454648704
b2_KO_APP,100.0,9,202244314,13750.0,184.35788950469117,13.439430719625388,0.040505148166019404,55.179966258437915,220.8750629604168,2439.2896718884044,4.3578895046911725
b2_KO_APP,100.0,9,202244314,full_delay,179.40357182905427,18.435283776906175,0.07730058735065157,56.07005208270042,-56.98145370938361,3440.5277450972108,0.5964281709457282
a5_KO,8.0,0,191664963,10950.0,190.32604151613643,57.58137918127498,0.04163468706249246,54.30252853634805,-274.1447259617013,53097.50678761093,10.326041516136428
a5_KO,8.0,0,191664963,11150.0,197.93854167881156,61.696180599254824,0.022615249186685702,54.83450723880371,-1758.299444644877,406189.0742646531,17.93854167881156
a5_KO,8.0,0,191664963,11350.0,217.33530426087094,64.30627464828524,0.02400810035655441,54.50212558496537,2113.6897489421135,803972.0380600841,37.33530426087094
a5_KO,8.0,0,191664963,11550.0,216.85826241858962,59.62973967196378,0.026560724855600425,54.34878932439817,-2351.816474282233,355727.23499444884,36.85826241858962
a5_KO,8.0,0,191664963,11750.0,142.58796241321022,55.05082263083481,0.025737772246743312,54.12222117071959,3444.5896211703043,938291.7623016224,37.41203758678978
a5_KO,8.0,0,191664963,11950.0,188.26061562429354,43.230761440352936,0.03699823958444933,54.20328955499358,36.55261072249985,23197.756418065157,8.260615624293536
a5_KO,8.0,0,191664963,12150.0,58.96008431334751,86.74413645682696,0.022039774423478084,54.233832925678755,2514.0996483460995,179214.9367488033,121.03991568665249
a5_KO,8.0,0,191664963,12350.0,310.13117689956687,124.3593218994591,0.02192467669546327,54.281494579696435,751.5501314954056,191424.10535749138,130.13117689956687
a5_KO,8.0,0,191664963,12550.0,173.48855355476346,109.84557225700735,0.03238282749555216,54.66976836865531,1614.1181507453034,149582.70306963733,6.511446445236544
a5_KO,8.0,0,191664963,12750.0,45.624622679350814,75.0750938281653,0.02098192010589473,54.47633193858636,-898.2933748529459,110703.39849975434,134.3753773206492
a5_KO,8.0,0,191664963,12950.0,248.1417076684196,71.20502236700285,0.03420397095880697,54.42690909328819,-185.77736258204524,160494.78002426654,68.1417076684196
a5_KO,8.0,0,191664963,13150.0,263.4827271279554,66.7763701234586,0.029364491699657883,54.04134339758724,1684.077673540387,143465.068297267,83.4827271279554
a5_KO,8.0,0,191664963,13350.0,152.27592894546083,98.77860817227683,0.030627603329480713,54.37689557662733,-2095.6368459051723,363351.7520149346,27.724071054539166
a5_KO,8.0,0,191664963,13550.0,230.51867170237276,57.494189130935865,0.029279732179621668,54.20316768750399,155.15847260079298,60550.368651171484,50.51867170237276
a5_KO,8.0,0,191664963,13750.0,233.207051476008,121.19108369365397,0.04374858367302601,53.38195521220541,-2756.697638822593,379969.09359450295,53.20705147600799
a5_KO,8.0,0,191664963,full_delay,201.9738930704932,91.76875792582432,0.028992817632087782,54.17030811674643,232.5185524084577,271065.39636188315,21.973893070493205
a5_KO,8.0,1,1662057957,10950.0,145.29217820980935,62.55933074593353,0.025459734998993202,54.77531354262718,927.3996091120263,230745.7058064355,34.70782179019065
a5_KO,8.0,1,1662057957,11150.0,96.47074055308674,106.75905967985354,0.026725825124166838,54.87716224189724,-133.90635618595007,115798.45347677212,83.52925944691326
a5_KO,8.0,1,1662057957,11350.0,137.25243095216976,41.73640798695036,0.032005438910172546,54.40639862082605,2107.347931404776,263571.2625414082,42.74756904783024
a5_KO,8.0,1,1662057957,11550.0,287.3751768156689,109.84483112195866,0.02797350128443845,54.35212618591267,1147.6129814318008,499078.5869873697,107.37517681566891
a5_KO,8.0,1,1662057957,11750.0,72.4559892436244,86.41719777877108,0.02681273843917387,54.65170125145638,596.5428803780159,100393.11128204362,107.5440107563756
a5_KO,8.0,1,1662057957,11950.0,111.9490347343602,94.29303635898208,0.02218061363399436,54.63097569863739,1652.214621479341,155253.986887038,68.0509652656398
a5_KO,8.0,1,1662057957,12150.0,57.04320255240122,110.01695103102172,0.020776768577168633,55.061285124537406,-716.3017381600866,67925.99111090034,122.95679744759877
a5_KO,8.0,1,1662057957,12350.0,151.57750318625574,108.13630418529341,0.022790993282397993,54.29587770069166,848.1223423062729,188573.96065664972,28.42249681374426
a5_KO,8.0,1,1662057957,12550.0,60.54837974614517,103.87138419445743,0.023459337377834677,54.43869991932563,-314.84927154397343,24982.862500510586,119.45162025385483
a5_KO,8.0,1,1662057957,12750.0,312.33861039355077,60.453020311557594,0.03430460161733848,54.491672026214324,-2640.2544361345977,499525.5714615609,132.33861039355077
a5_KO,8.0,1,1662057957,12950.0,142.24559994912195,128.4038277618791,0.029058982781983614,54.2330459119497,-988.6941325727278,113255.27931529384,37.75440005087805
a5_KO,8.0,1,1662057957,13150.0,333.2101636420365,51.80526758393037,0.02960630022557439,54.43960808066229,-65.55643130220594,36864.15164300066,153.2101636420365
a5_KO,8.0,1,1662057957,13350.0,352.15024011282594,66.50181644911673,0.025930397112500243,54.53845026680976,-492.74305673018273,63767.59029442939,172.15024011282594
a5_KO,8.0,1,1662057957,13550.0,234.32364422076404,104.77816851026851,0.03546816447026648,54.56275623547441,1018.4030000659478,167085.74537816085,54.32364422076404
a5_KO,8.0,1,1662057957,13750.0,193.75118541413653,63.326677116160226,0.020585105190448892,54.33594076324276,-210.10318572496345,2207.167432588924,13.751185414136529
a5_KO,8.0,1,1662057957,full_delay,85.01345647613363,137.64193693447217,0.027076075501231946,54.71280311696476,195.8818172886878,194860.30416704525,94.98654352386637
a5_KO,8.0,2,1405681631,10950.0,191.73393858628665,69.4867838014587,0.035337721045805744,54.511156381579426,-219.55493969546637,82069.58250697433,11.733938586286655
a5_KO,8.0,2,1405681631,11150.0,186.26348480340843,43.37319759949186,0.03232851762381503,54.392845111301156,130.53182468522792,11406.891555513022,6.263484803408431
a5_KO,8.0,2,1405681631,11350.0,220.62466754436505,34.59237590162594,0.030548834056909304,54.56904534523037,-1947.3964363428013,555830.2586256003,40.62466754436505
a5_KO,8.0,2,1405681631,11550.0,204.8546553074878,71.13516133153381,0.02624264096557084,54.8387099873183,-2912.2077758106966,604893.0459588842,24.854655307487803
a5_KO,8.0,2,1405681631,11750.0,355.3107942241982,87.74492161684819,0.03464628791591702,54.436647815982994,-1430.9222869771093,241711.0644342509,175.31079422419822
a5_KO,8.0,2,1405681631,11950.0,163.38372002307608,91.55840250780054,0.03808637537388364,54.21789927325938,-937.4878043789188,206244.7236291979,16.61627997692392
a5_KO,8.0,2,1405681631,12150.0,228.923092344375,68.82837837761613,0.023397963386663546,54.116878867917976,632.1946328716043,85283.90995464442,48.92309234437499
a5_KO,8.0,2,1405681631,12350.0,283.2217818468779,104.46981131746715,0.028073974691127275,54.76049234848284,1111.0843605107625,201830.2430941401,103.22178184687789
a5_KO,8.0,2,1405681631,12550.0,249.16783944589184,62.443996616841105,0.02766204137384934,54.382636103994436,-881.2379890107824,248832.27254346514,69.16783944589184
a5_KO,8.0,2,1405681631,12750.0,229.15894191578116,111.35089172679785,0.02723562652613837,54.589517977726416,-722.7643899491093,140994.64296903892,49.158941915781156
a5_KO,8.0,2,1405681631,12950.0,216.87941215961146,53.60384104771595,0.031018028209638806,54.84962711361118,-187.4048557459814,31122.226920365512,36.87941215961146
a5_KO,8.0,2,1405681631,13150.0,231.80223410757958,101.435553326108,0.03377395193511618,54.48289572912613,-1968.8935294750347,175971.46971401243,51.80223410757958
a5_KO,8.0,2,1405681631,13350.0,220.07755765574322,28.384257193743778,0.03761167070032399,54.26751852080689,13.123420646343789,11162.763183166013,40.07755765574322
a5_KO,8.0,2,1405681631,13550.0,71.909672831026,48.48980981829831,0.030292172534316434,54.8313507866867,-435.89348950687696,36078.84102390566,108.090327168974
a5_KO,8.0,2,1405681631,13750.0,339.1801027665208,70.11972406488694,0.043240943464098916,54.366926791510004,-2103.734333660766,221284.90733115532,159.1801027665208
a5_KO,8.0,2,1405681631,full_delay,215.17121421439055,87.6762512473812,0.031541382865568485,54.36043628634874,-745.4273396558085,152374.79088354885,35.171214214390545
a5_KO,8.0,3,942484272,10950.0,196.2166401651879,39.53131111070099,0.039047293975547785,54.765666491225645,274.9730498254314,11582.790389731968,16.216640165187897
a5_KO,8.0,3,942484272,11150.0,227.98506460172055,68.37326399557655,0.02172680582824049,54.48182436661635,-1658.6732938526677,161686.65527774132,47.98506460172055
