condition,amplitude,distractor_factor,offset_deg,phase_pi,trial_idx,seed,plv_mean_delay2,cue_power_mean_delay2,dist_power_mean_delay2
WT,20.0,1.0,120.0,0.125,66,1418387863,0.30752129092997876,0.7114026072638022,0.3415927933987836
WT,20.0,1.0,120.0,0.125,67,1770578616,0.4329604307128521,0.8727445466415245,0.22714005842372137
WT,20.0,1.0,120.0,0.125,68,507183781,0.5836710171515894,0.8968476974288141,0.5601121217340196
WT,20.0,1.0,120.0,0.125,69,1782558243,0.35562998470512047,0.8177865515962779,0.5315815095628936
WT,20.0,1.0,120.0,0.125,70,895155732,0.3199500510650351,0.6108041842497174,0.4816449804319707
WT,20.0,1.0,120.0,0.125,71,720148324,0.3036017094401302,0.5733448969687743,0.5657743546133853
WT,20.0,1.0,120.0,0.125,72,1582122199,0.375152150338618,0.8013836084051377,0.5328301278755481
WT,20.0,1.0,120.0,0.125,73,1951878275,0.3141400881001586,0.847345577259064,0.44511839582172946
WT,20.0,1.0,120.0,0.125,74,850305651,0.5047140324295091,0.8629025085322741,0.5630078256439719
WT,20.0,1.0,120.0,0.125,75,146415610,0.21478664280502746,0.6329013530253655,0.4645508419980972
WT,20.0,1.0,120.0,0.125,76,506504968,0.40813618270431484,0.7632313764382027,0.5079039126260135
WT,20.0,1.0,120.0,0.125,77,1164456162,0.3496405465868263,0.7920268370291802,0.419097326735905
WT,20.0,1.0,120.0,0.125,78,1436613566,0.4859523004703027,0.7879170652532533,0.5019501943742358
WT,20.0,1.0,120.0,0.125,79,492357652,0.6010254506758156,0.9517311316994284,0.6164275610670139
WT,20.0,1.0,120.0,0.125,80,1275714321,0.4605731727411558,0.7307042957455013,0.38445178585856277
WT,20.0,1.0,120.0,0.125,81,115492695,0.4451513069907968,0.6783068611814872,0.4440650189203474
WT,20.0,1.0,120.0,0.125,82,1538334324,0.2891930771206668,0.7323565705523487,0.451406749193473
WT,20.0,1.0,120.0,0.125,83,405827099,0.4025117193511505,0.6059524594480684,0.46719261748230595
WT,20.0,1.0,120.0,0.125,84,1328323725,0.3857245456551286,0.6776778783145843,0.497462910519575
WT,20.0,1.0,120.0,0.125,85,1167083081,0.3554142949779504,0.7334690868309188,0.560239742940753
WT,20.0,1.0,120.0,0.125,86,776272372,0.6101470872136858,0.6964487478897922,0.6016475387468645
WT,20.0,1.0,120.0,0.125,87,1135007690,0.5381557569792961,0.8117671302808251,0.4824779224348061
WT,20.0,1.0,120.0,0.125,88,598824061,0.37306586086706567,0.7727772398615769,0.582234183430231
WT,20.0,1.0,120.0,0.125,89,623301253,0.4641595508011698,0.5787877667460063,0.5829564238493112
WT,20.0,1.0,120.0,0.125,90,2042901480,0.4251023951669378,0.852520237981788,0.7612136454222446
WT,20.0,1.0,120.0,0.125,91,2089944286,0.2894895840820332,0.7205987371242931,0.38402898293634585
WT,20.0,1.0,120.0,0.125,92,1201751906,0.517754651573254,0.9455814708163836,0.5297521936758672
WT,20.0,1.0,120.0,0.125,93,1707274007,0.4382092369590817,0.7605331357296007,0.5117474744072642
WT,20.0,1.0,120.0,0.125,94,2031444617,0.33173528940634545,0.6763747489936042,0.40788977201611104
WT,20.0,1.0,120.0,0.125,95,1021644827,0.45243784247633784,0.7302913301313023,0.5279363853543468
WT,20.0,1.0,120.0,0.125,96,1106617184,0.4280244196738048,0.7289328750930546,0.4287601445154085
WT,20.0,1.0,120.0,0.125,97,1572947672,0.3756628234954262,0.8314670867759347,0.44468294311493806
WT,20.0,1.0,120.0,0.125,98,1398504477,0.4132201656176569,0.4532423476587367,0.5064052391238589
WT,20.0,1.0,120.0,0.125,99,679618480,0.23481216014858353,0.6349319651212633,0.5361436595503607
WT,20.0,1.0,120.0,0.25,0,1168784116,0.29636623657445293,0.6361036108176473,0.6310490449104796
WT,20.0,1.0,120.0,0.25,1,921289450,0.4256096366424615,0.7818261026730948,0.4806379353413562
WT,20.0,1.0,120.0,0.25,2,1293255992,0.41337841597608466,0.7801031968508231,0.4510792593478628
WT,20.0,1.0,120.0,0.25,3,1702858716,0.6494628513749249,1.0447062647506515,0.7206538408285639
WT,20.0,1.0,120.0,0.25,4,1895310323,0.3320360948903484,0.8144018591908586,0.5574447585714991
WT,20.0,1.0,120.0,0.25,5,211694680,0.35319356781871075,0.7910659590569181,0.4500953350175449
WT,20.0,1.0,120.0,0.25,6,280584697,0.2212362855510465,0.6376578355633321,0.5378552985829445
WT,20.0,1.0,120.0,0.25,7,617447500,0.3686057300078996,0.6718266722609746,0.5940574630656111
WT,20.0,1.0,120.0,0.25,8,1249765968,0.48712111253053797,0.6262239544241475,0.5986242677873352
WT,20.0,1.0,120.0,0.25,9,1504658074,0.6264600089452852,0.8001037340117477,0.6423427097036082
WT,20.0,1.0,120.0,0.25,10,1008898872,0.30654760915750606,0.7463870842577679,0.6303086155394124
WT,20.0,1.0,120.0,0.25,11,794319243,0.34863396678502323,0.6086740026681438,0.42502833654261296
WT,20.0,1.0,120.0,0.25,12,204008863,0.3547438467514231,0.6139503706106224,0.43320941502055826
WT,20.0,1.0,120.0,0.25,13,1880439445,0.4498979710432176,0.7251686821809756,0.4493147826278474
WT,20.0,1.0,120.0,0.25,14,1306372712,0.3391509476011332,0.9828200697651951,0.44692530490887433
WT,20.0,1.0,120.0,0.25,15,2122084012,0.48207270059590107,0.9331926585036846,0.5703690917578907
WT,20.0,1.0,120.0,0.25,16,1976297044,0.3540377197756232,0.8122958853822194,0.4198195282457062
WT,20.0,1.0,120.0,0.25,17,784548992,0.41106271606495054,0.7582322764367584,0.5837861065242982
WT,20.0,1.0,120.0,0.25,18,2121403537,0.2894603901199325,0.7084135145146281,0.5054585797925024
WT,20.0,1.0,120.0,0.25,19,347016859,0.30356514809088075,0.7534484477580041,0.5235189977587139
WT,20.0,1.0,120.0,0.25,20,527842052,0.2692380065670112,0.6166622506200287,0.47343589984905016
WT,20.0,1.0,120.0,0.25,21,215409799,0.39262291405154387,0.8303153235628993,0.4572775584493647
WT,20.0,1.0,120.0,0.25,22,350632298,0.5285408438680423,0.7488334501090119,0.5897929790174508
WT,20.0,1.0,120.0,0.25,23,2071774379,0.42632324081442496,0.7566648875429856,0.5551685509888675
WT,20.0,1.0,120.0,0.25,24,1492822048,0.23379493880230798,0.6713694750298327,0.41972685752791095
WT,20.0,1.0,120.0,0.25,25,199233221,0.3039369497622266,0.8070522370317321,0.2796891965181682
WT,20.0,1.0,120.0,0.25,26,1395966768,0.396796475866663,0.6839112293182018,0.499228883364156
WT,20.0,1.0,120.0,0.25,27,786556690,0.38345901262581916,0.763860358377988,0.6458151483190092
WT,20.0,1.0,120.0,0.25,28,649984770,0.5921009413802559,1.0765169252588949,0.6294738814324812
WT,20.0,1.0,120.0,0.25,29,337723248,0.41418381831641055,0.6929686794318092,0.42585435096822577
WT,20.0,1.0,120.0,0.25,30,1094264184,0.3657114474185042,0.7158591122163032,0.5553998323172427
WT,20.0,1.0,120.0,0.25,31,2089154132,0.3078585104128431,0.7027067099400135,0.36176538592636004
WT,20.0,1.0,120.0,0.25,32,1584690825,0.465863268526706,0.9962939917841842,0.6158041337380981
WT,20.0,1.0,120.0,0.25,33,795962858,0.310656479644658,0.5261400400001311,0.2784649692865693
WT,20.0,1.0,120.0,0.25,34,827737825,0.47580488299722795,0.674030126714864,0.48722112314314325
WT,20.0,1.0,120.0,0.25,35,234713593,0.34346977637688547,0.785217582796939,0.5054564541148977
WT,20.0,1.0,120.0,0.25,36,885327366,0.31378484789887157,0.6285275210024097,0.4197288613421393
WT,20.0,1.0,120.0,0.25,37,928832081,0.2799261686000742,0.6640642396586697,0.3927396831804637
WT,20.0,1.0,120.0,0.25,38,1947615286,0.32462863339863995,0.7054357519836963,0.341104065208866
WT,20.0,1.0,120.0,0.25,39,20360091,0.45588066932515087,1.0544514894325023,0.36009360007684554
WT,20.0,1.0,120.0,0.25,40,1806363173,0.5351787691263685,0.7447716603577516,0.5340993204185045
WT,20.0,1.0,120.0,0.25,41,1312343691,0.38017492809632925,0.6478890532237698,0.47365557922788476
WT,20.0,1.0,120.0,0.25,42,1762120781,0.3991883313319878,0.7006532260548944,0.4116368241914833
WT,20.0,1.0,120.0,0.25,43,1700607009,0.3697554477099771,0.762848655305941,0.42164296274778224
WT,20.0,1.0,120.0,0.25,44,1634649145,0.41547971545717394,0.7612669793891391,0.4345878352922248
WT,20.0,1.0,120.0,0.25,45,1036024353,0.4974737292110058,0.8938488446499359,0.47496750899957246
WT,20.0,1.0,120.0,0.25,46,261494503,0.33548127065477,0.853026386398049,0.3689865838907792
WT,20.0,1.0,120.0,0.25,47,2001682155,0.4499904009273033,0.8324140141109173,0.6768963475543804
WT,20.0,1.0,120.0,0.25,48,1311960750,0.4179615946051877,0.8567920852492592,0.5400738808134108
WT,20.0,1.0,120.0,0.25,49,295114914,0.2615343630424057,0.5575922191475199,0.5711444052756417
WT,20.0,1.0,120.0,0.25,50,2006889349,0.520866134032261,0.7212810825483019,0.5378306250122727
WT,20.0,1.0,120.0,0.25,51,1524829245,0.3505442511059167,0.769987935701225,0.6049612776522771
WT,20.0,1.0,120.0,0.25,52,319434624,0.4510264084604037,0.9239673929276443,0.5409601713894503
WT,20.0,1.0,120.0,0.25,53,2032667552,0.5713331329228826,0.7188923508585349,0.47167131265852813
WT,20.0,1.0,120.0,0.25,54,1564774687,0.37176828515896754,0.6475750480256736,0.40305609613564414
WT,20.0,1.0,120.0,0.25,55,2092577640,0.6231079136333504,0.8763500641137266,0.5164097091742502
WT,20.0,1.0,120.0,0.25,56,1166111204,0.47211312566670127,0.9000100443933576,0.5680477445097118
WT,20.0,1.0,120.0,0.25,57,1607521147,0.5097170380116404,1.0197758689663916,0.5795810120850492
WT,20.0,1.0,120.0,0.25,58,1324596573,0.5859833620827183,0.8984019479096358,0.6407496529311089
WT,20.0,1.0,120.0,0.25,59,1726642687,0.36966849557546144,0.551320779076815,0.38120403538589304
