condition,amplitude,w_inter,trial_idx,seed,ref_amplitude,end_val_normalized
WT,25.0,8.0,31,2089154132,0.6089489308199756,0.9516161352004197
WT,25.0,8.0,32,1584690825,0.609544190880228,0.9516161352004197
WT,25.0,8.0,33,795962858,0.6225804809530406,0.9516161352004197
WT,25.0,8.0,34,827737825,0.6136362782567041,0.9516161352004197
WT,25.0,8.0,35,234713593,0.6287707664203457,0.9516161352004197
WT,25.0,8.0,36,885327366,0.6178093602447895,0.9516161352004197
WT,25.0,8.0,37,928832081,0.621444058983112,0.9516161352004197
WT,25.0,8.0,38,1947615286,0.6169177101795246,0.9516161352004197
WT,25.0,8.0,39,20360091,0.6297609913370447,0.9516161352004197
WT,25.0,8.0,40,1806363173,0.6216541407544199,0.9516161352004197
WT,25.0,8.0,41,1312343691,0.6195134518959127,0.9516161352004197
WT,25.0,8.0,42,1762120781,0.621603134241812,0.9516161352004197
WT,25.0,8.0,43,1700607009,0.6137606745908634,0.9516161352004197
WT,25.0,8.0,44,1634649145,0.6259841624830785,0.9516161352004197
WT,25.0,8.0,45,1036024353,0.6297506073365344,0.9516161352004197
WT,25.0,8.0,46,261494503,0.615055269150666,0.9516161352004197
WT,25.0,8.0,47,2001682155,0.6094830442462208,0.9516161352004197
WT,25.0,8.0,48,1311960750,0.6168292323209971,0.9516161352004197
WT,25.0,8.0,49,295114914,0.6226609211973626,0.9516161352004197
WT,30.0,8.0,0,1168784116,0.6338563470945343,0.9511894618337726
WT,30.0,8.0,1,921289450,0.6503795284354904,0.9511894618337726
WT,30.0,8.0,2,1293255992,0.6364140671058802,0.9511894618337726
WT,30.0,8.0,3,1702858716,0.6287283312696862,0.9511894618337726
WT,30.0,8.0,4,1895310323,0.6271084910676297,0.9511894618337726
WT,30.0,8.0,5,211694680,0.6548565876289872,0.9511894618337726
WT,30.0,8.0,6,280584697,0.6397861359405147,0.9511894618337726
WT,30.0,8.0,7,617447500,0.6399074275007723,0.9511894618337726
WT,30.0,8.0,8,1249765968,0.6331616913391704,0.9511894618337726
WT,30.0,8.0,9,1504658074,0.6386936190022949,0.9511894618337726
WT,30.0,8.0,10,1008898872,0.6408638628847899,0.9511894618337726
WT,30.0,8.0,11,794319243,0.6429615870844952,0.9511894618337726
WT,30.0,8.0,12,204008863,0.6423675231393936,0.9511894618337726
WT,30.0,8.0,13,1880439445,0.6461281173887435,0.9511894618337726
WT,30.0,8.0,14,1306372712,0.6352210355327655,0.9511894618337726
WT,30.0,8.0,15,2122084012,0.6372024968136862,0.9511894618337726
WT,30.0,8.0,16,1976297044,0.6321049615671084,0.9511894618337726
WT,30.0,8.0,17,784548992,0.6463570273233745,0.9511894618337726
WT,30.0,8.0,18,2121403537,0.6421139535460128,0.9511894618337726
WT,30.0,8.0,19,347016859,0.6511475682741745,0.9511894618337726
WT,30.0,8.0,20,527842052,0.6271120844938575,0.9511894618337726
WT,30.0,8.0,21,215409799,0.6342566925864941,0.9511894618337726
WT,30.0,8.0,22,350632298,0.6354264543404583,0.9511894618337726
WT,30.0,8.0,23,2071774379,0.6536818026168575,0.9511894618337726
WT,30.0,8.0,24,1492822048,0.6537396134352338,0.9511894618337726
WT,30.0,8.0,25,199233221,0.6440783680304537,0.9511894618337726
WT,30.0,8.0,26,1395966768,0.6476384850331682,0.9511894618337726
WT,30.0,8.0,27,786556690,0.6245626677064203,0.9511894618337726
WT,30.0,8.0,28,649984770,0.635075478600145,0.9511894618337726
WT,30.0,8.0,29,337723248,0.648643832884015,0.9511894618337726
WT,30.0,8.0,30,1094264184,0.6377083713185338,0.9511894618337726
WT,30.0,8.0,31,2089154132,0.6186807525627809,0.9511894618337726
WT,30.0,8.0,32,1584690825,0.630689187869411,0.9511894618337726
WT,30.0,8.0,33,795962858,0.6409145836984749,0.9511894618337726
WT,30.0,8.0,34,827737825,0.6383662780664962,0.9511894618337726
WT,30.0,8.0,35,234713593,0.6489556066283276,0.9511894618337726
WT,30.0,8.0,36,885327366,0.6320861881032926,0.9511894618337726
WT,30.0,8.0,37,928832081,0.6371635175096969,0.9511894618337726
WT,30.0,8.0,38,1947615286,0.6377354113298969,0.9511894618337726
WT,30.0,8.0,39,20360091,0.6506692340839999,0.9511894618337726
WT,30.0,8.0,40,1806363173,0.6271000923959956,0.9511894618337726
WT,30.0,8.0,41,1312343691,0.6427862317831761,0.9511894618337726
WT,30.0,8.0,42,1762120781,0.6366903435527459,0.9511894618337726
WT,30.0,8.0,43,1700607009,0.6342538012726515,0.9511894618337726
WT,30.0,8.0,44,1634649145,0.6446751563553026,0.9511894618337726
WT,30.0,8.0,45,1036024353,0.65209532473154,0.9511894618337726
WT,30.0,8.0,46,261494503,0.6351120111268532,0.9511894618337726
WT,30.0,8.0,47,2001682155,0.6287228105627317,0.9511894618337726
WT,30.0,8.0,48,1311960750,0.6390420734321528,0.9511894618337726
WT,30.0,8.0,49,295114914,0.6443203089276028,0.9511894618337726
WT_APP,10.0,8.0,0,1168784116,0.4281850670848895,1.414784863091127
WT_APP,10.0,8.0,1,921289450,0.4308243538598882,1.414784863091127
WT_APP,10.0,8.0,2,1293255992,0.4357626008590257,1.414784863091127
WT_APP,10.0,8.0,3,1702858716,0.4294184346493964,1.414784863091127
WT_APP,10.0,8.0,4,1895310323,0.4294850573570646,1.414784863091127
WT_APP,10.0,8.0,5,211694680,0.42484268700383765,1.414784863091127
WT_APP,10.0,8.0,6,280584697,0.4341082637573206,1.414784863091127
WT_APP,10.0,8.0,7,617447500,0.41370347940145197,1.414784863091127
WT_APP,10.0,8.0,8,1249765968,0.41023078328299706,1.414784863091127
WT_APP,10.0,8.0,9,1504658074,0.42618228365053745,1.414784863091127
WT_APP,10.0,8.0,10,1008898872,0.4450904592326503,1.414784863091127
WT_APP,10.0,8.0,11,794319243,0.44329581004546986,1.414784863091127
WT_APP,10.0,8.0,12,204008863,0.4019429252022779,1.414784863091127
WT_APP,10.0,8.0,13,1880439445,0.43012912424333644,1.414784863091127
WT_APP,10.0,8.0,14,1306372712,0.4036236979559609,1.414784863091127
WT_APP,10.0,8.0,15,2122084012,0.4082874705705766,1.414784863091127
WT_APP,10.0,8.0,16,1976297044,0.4280431515352767,1.414784863091127
WT_APP,10.0,8.0,17,784548992,0.3824223872121488,1.414784863091127
WT_APP,10.0,8.0,18,2121403537,0.41602871457527724,1.414784863091127
WT_APP,10.0,8.0,19,347016859,0.42133297773424405,1.414784863091127
WT_APP,10.0,8.0,20,527842052,0.39151580640184247,1.414784863091127
WT_APP,10.0,8.0,21,215409799,0.41266773338743684,1.414784863091127
WT_APP,10.0,8.0,22,350632298,0.43190796649819446,1.414784863091127
WT_APP,10.0,8.0,23,2071774379,0.4253681795638318,1.414784863091127
WT_APP,10.0,8.0,24,1492822048,0.4303036942897734,1.414784863091127
WT_APP,10.0,8.0,25,199233221,0.42195543676020897,1.414784863091127
WT_APP,10.0,8.0,26,1395966768,0.4282760367603145,1.414784863091127
WT_APP,10.0,8.0,27,786556690,0.41897927528432843,1.414784863091127
WT_APP,10.0,8.0,28,649984770,0.4291397017392544,1.414784863091127
WT_APP,10.0,8.0,29,337723248,0.436578630801762,1.414784863091127
WT_APP,10.0,8.0,30,1094264184,0.42833106556038514,1.414784863091127
WT_APP,10.0,8.0,31,2089154132,0.3785280000583678,1.414784863091127
WT_APP,10.0,8.0,32,1584690825,0.41723208361596276,1.414784863091127
WT_APP,10.0,8.0,33,795962858,0.4244712850067273,1.414784863091127
WT_APP,10.0,8.0,34,827737825,0.4076859074199249,1.414784863091127
WT_APP,10.0,8.0,35,234713593,0.4412673790441813,1.414784863091127
WT_APP,10.0,8.0,36,885327366,0.406101865777203,1.414784863091127
WT_APP,10.0,8.0,37,928832081,0.41635092008437896,1.414784863091127
