condition,w_inter,trial_idx,seed,A_hat,cap_hit,noise_percentile,noise_threshold
WT,0.002,44,506,0.043048684,0,95,0.04448642615
WT,0.002,45,507,0.03248014098,0,95,0.04448642615
WT,0.002,46,508,0.01574408745,0,95,0.04448642615
WT,0.002,47,509,0.01864796425,0,95,0.04448642615
WT,0.002,48,510,0.05152992143,0,95,0.04448642615
WT,0.002,49,511,0.01356666603,0,95,0.04448642615
WT,0.002375,0,462,0.008622103633,0,95,0.02959617164
WT,0.002375,1,463,0.006752446628,0,95,0.02959617164
WT,0.002375,2,464,0.004571699741,0,95,0.02959617164
WT,0.002375,3,465,0.01834102958,0,95,0.02959617164
WT,0.002375,4,466,0.01571948946,0,95,0.02959617164
WT,0.002375,5,467,0.0134802192,0,95,0.02959617164
WT,0.002375,6,468,0.006434011716,0,95,0.02959617164
WT,0.002375,7,469,0.01311065687,0,95,0.02959617164
WT,0.002375,8,470,0.01446309228,0,95,0.02959617164
WT,0.002375,9,471,0.02967492753,0,95,0.02959617164
WT,0.002375,10,472,0.01578446889,0,95,0.02959617164
WT,0.002375,11,473,0.008724964917,0,95,0.02959617164
WT,0.002375,12,474,0.0204290292,0,95,0.02959617164
WT,0.002375,13,475,0.02301180786,0,95,0.02959617164
WT,0.002375,14,476,0.01059028976,0,95,0.02959617164
WT,0.002375,15,477,0.01235151226,0,95,0.02959617164
WT,0.002375,16,478,0.01867949106,0,95,0.02959617164
WT,0.002375,17,479,0.02331019951,0,95,0.02959617164
WT,0.002375,18,480,0.01821604778,0,95,0.02959617164
WT,0.002375,19,481,0.02196919625,0,95,0.02959617164
WT,0.002375,20,482,0.01232929205,0,95,0.02959617164
WT,0.002375,21,483,0.005669607953,0,95,0.02959617164
WT,0.002375,22,484,0.01392880792,0,95,0.02959617164
WT,0.002375,23,485,0.008086234575,0,95,0.02959617164
WT,0.002375,24,486,0.009375660414,0,95,0.02959617164
WT,0.002375,25,487,0.02845416444,0,95,0.02959617164
WT,0.002375,26,488,0.01102458057,0,95,0.02959617164
WT,0.002375,27,489,0.005377417258,0,95,0.02959617164
WT,0.002375,28,490,0.03123879086,0,95,0.02959617164
WT,0.002375,29,491,0.007057063431,0,95,0.02959617164
WT,0.002375,30,492,0.01337185317,0,95,0.02959617164
WT,0.002375,31,493,0.01029475695,0,95,0.02959617164
WT,0.002375,32,494,0.03257949253,0,95,0.02959617164
WT,0.002375,33,495,0.002453552461,0,95,0.02959617164
WT,0.002375,34,496,0.0090187148,0,95,0.02959617164
WT,0.002375,35,497,0.009689673324,0,95,0.02959617164
WT,0.002375,36,498,0.01877145291,0,95,0.02959617164
WT,0.002375,37,499,0.005033136805,0,95,0.02959617164
WT,0.002375,38,500,0.008963647667,0,95,0.02959617164
WT,0.002375,39,501,0.007971766715,0,95,0.02959617164
WT,0.002375,40,502,0.006187345785,0,95,0.02959617164
WT,0.002375,41,503,0.02081967327,0,95,0.02959617164
WT,0.002375,42,504,0.02183954725,0,95,0.02959617164
WT,0.002375,43,505,0.002899809604,0,95,0.02959617164
WT,0.002375,44,506,0.02959202659,0,95,0.02959617164
WT,0.002375,45,507,0.02053560199,0,95,0.02959617164
WT,0.002375,46,508,0.01392848903,0,95,0.02959617164
WT,0.002375,47,509,0.01575752409,0,95,0.02959617164
WT,0.002375,48,510,0.03209690062,0,95,0.02959617164
WT,0.002375,49,511,0.004212235597,0,95,0.02959617164
WT,0.002375,50,512,0.01216521929,0,95,0.02959617164
WT,0.002375,51,513,0.02334501381,0,95,0.02959617164
WT,0.002375,52,514,0.008304810126,0,95,0.02959617164
WT,0.002375,53,515,0.0272626174,0,95,0.02959617164
WT,0.002375,54,516,0.03145029266,0,95,0.02959617164
WT,0.002375,55,517,0.005717782173,0,95,0.02959617164
WT,0.002375,56,518,0.0113108388,0,95,0.02959617164
WT,0.002375,57,519,0.01400168198,0,95,0.02959617164
WT,0.002375,58,520,0.005216912067,0,95,0.02959617164
WT,0.002375,59,521,0.01148688852,0,95,0.02959617164
WT,0.002375,60,522,0.01847330128,0,95,0.02959617164
WT,0.002375,61,523,0.01185353086,0,95,0.02959617164
WT,0.002375,62,524,0.01353445284,0,95,0.02959617164
WT,0.002375,63,525,0.01135669776,0,95,0.02959617164
WT,0.002375,64,526,0.01904633657,0,95,0.02959617164
WT,0.002375,65,527,0.009595066371,0,95,0.02959617164
WT,0.002375,66,528,0.01839765936,0,95,0.02959617164
WT,0.002375,67,529,0.005004210265,0,95,0.02959617164
WT,0.002375,68,530,0.02883096056,0,95,0.02959617164
WT,0.002375,69,531,0.0123133458,0,95,0.02959617164
WT,0.002375,70,532,0.01393786968,0,95,0.02959617164
WT,0.002375,71,533,0.02325991869,0,95,0.02959617164
WT,0.002375,72,534,0.01115575007,0,95,0.02959617164
WT,0.002375,73,535,0.02127160717,0,95,0.02959617164
WT,0.002375,74,536,0.02404945951,0,95,0.02959617164
WT,0.002375,75,537,0.009273564282,0,95,0.02959617164
WT,0.002375,76,538,0.01456552443,0,95,0.02959617164
WT,0.002375,77,539,0.01501632652,0,95,0.02959617164
WT,0.002375,78,540,0.003572583485,0,95,0.02959617164
WT,0.002375,79,541,0.01132395853,0,95,0.02959617164
WT,0.002375,80,542,0.005003197929,0,95,0.02959617164
WT,0.002375,81,543,0.02031552974,0,95,0.02959617164
WT,0.002375,82,544,0.02146686827,0,95,0.02959617164
WT,0.002375,83,545,0.007278035259,0,95,0.02959617164
WT,0.002375,84,546,0.01555094676,0,95,0.02959617164
WT,0.002375,85,547,0.02478466858,0,95,0.02959617164
WT,0.002375,86,548,0.0139179175,0,95,0.02959617164
WT,0.002375,87,549,0.02656622871,0,95,0.02959617164
WT,0.002375,88,550,0.01231931183,0,95,0.02959617164
