cond_key,w_pv,w_pyr,amp,trial_idx,seed,resting_hz,cue_peak_hz,cue_saturated,delay_rest_frac,delay_bump_frac,delay_sat_frac,delay_mean_peak_hz,bump_lo_hz
WT,0.03,0.001,0.45,8,1249765968,0.00014382276037832695,200.0,True,0.672,0.247,0.081,26.03266108746093,10.0
WT,0.03,0.001,0.45,9,1504658074,0.00014382276037832695,200.0,True,0.673,0.243,0.084,26.231186006764958,10.0
WT,0.03,0.001,0.45,11,794319243,0.00014382276037832695,200.0,True,0.69,0.228,0.082,25.106397602453896,10.0
WT,0.03,0.001,0.45,12,204008863,0.00014382276037832695,200.0,True,0.671,0.24,0.089,27.0017702035212,10.0
WT,0.03,0.001,0.45,14,1306372712,0.00014382276037832695,200.0,True,0.706,0.197,0.097,25.08485329419042,10.0
WT,0.03,0.001,0.45,10,1008898872,0.00014382276037832695,200.0,True,0.708,0.21,0.082,23.771004444058153,10.0
WT,0.03,0.001,0.45,15,2122084012,0.00014382276037832695,200.0,True,0.688,0.226,0.086,25.41520469490169,10.0
WT,0.03,0.001,0.45,13,1880439445,0.00014382276037832695,200.0,True,0.695,0.216,0.089,25.01436893078811,10.0
WT,0.03,0.001,0.45,16,1976297044,0.00014382276037832695,200.0,True,0.697,0.213,0.09,24.774183508756416,10.0
WT,0.03,0.001,0.45,17,784548992,0.00014382276037832695,200.0,True,0.688,0.217,0.095,26.05873988235359,10.0
WT,0.03,0.001,0.45,19,347016859,0.00014382276037832695,200.0,True,0.692,0.225,0.083,25.04554857159681,10.0
WT,0.03,0.001,0.5,1,921289450,0.00014382276037832695,200.0,True,0.675,0.248,0.077,25.565566899825114,10.0
WT,0.03,0.001,0.45,18,2121403537,0.00014382276037832695,200.0,True,0.678,0.239,0.083,25.827569139303026,10.0
WT,0.03,0.001,0.5,5,211694680,0.00014382276037832695,200.0,True,0.685,0.228,0.087,25.712926937678567,10.0
WT,0.03,0.001,0.5,4,1895310323,0.00014382276037832695,200.0,True,0.711,0.212,0.077,23.37688412503518,10.0
WT,0.03,0.001,0.5,0,1168784116,0.00014382276037832695,200.0,True,0.69,0.214,0.096,25.983803929773224,10.0
WT,0.03,0.001,0.5,2,1293255992,0.00014382276037832695,200.0,True,0.703,0.221,0.076,23.767431406778442,10.0
WT,0.03,0.001,0.5,3,1702858716,0.00014382276037832695,200.0,True,0.693,0.231,0.076,24.367437939343787,10.0
WT,0.03,0.001,0.5,6,280584697,0.00014382276037832695,200.0,True,0.695,0.224,0.081,24.52193090436905,10.0
WT,0.03,0.001,0.5,7,617447500,0.00014382276037832695,200.0,True,0.703,0.205,0.092,25.035939776702666,10.0
WT,0.03,0.001,0.5,8,1249765968,0.00014382276037832695,200.0,True,0.674,0.253,0.073,25.257814424856143,10.0
WT,0.03,0.001,0.5,9,1504658074,0.00014382276037832695,200.0,True,0.666,0.231,0.103,27.93488231641107,10.0
WT,0.03,0.001,0.5,13,1880439445,0.00014382276037832695,200.0,True,0.694,0.213,0.093,25.816214529433935,10.0
WT,0.03,0.001,0.5,12,204008863,0.00014382276037832695,200.0,True,0.672,0.24,0.088,26.43786327154133,10.0
WT,0.03,0.001,0.5,10,1008898872,0.00014382276037832695,200.0,True,0.694,0.212,0.094,25.58090978856865,10.0
WT,0.03,0.001,0.5,11,794319243,0.00014382276037832695,200.0,True,0.716,0.205,0.079,23.335957434288023,10.0
WT,0.03,0.001,0.5,14,1306372712,0.00014382276037832695,200.0,True,0.708,0.222,0.07,23.077507905724257,10.0
WT,0.03,0.001,0.5,16,1976297044,0.00014382276037832695,200.0,True,0.705,0.219,0.076,23.5467201755528,10.0
WT,0.03,0.001,0.5,15,2122084012,0.00014382276037832695,200.0,True,0.699,0.199,0.102,25.84393242976648,10.0
WT,0.03,0.001,0.5,17,784548992,0.00014382276037832695,200.0,True,0.689,0.224,0.087,25.3517921157889,10.0
WT,0.03,0.001,0.5,18,2121403537,0.00014382276037832695,200.0,True,0.679,0.224,0.097,26.89181350312906,10.0
WT,0.03,0.001,0.55,0,1168784116,0.00014382276037832695,200.0,True,0.682,0.215,0.103,27.009388846970058,10.0
WT,0.03,0.001,0.5,19,347016859,0.00014382276037832695,200.0,True,0.703,0.211,0.086,24.55511802488949,10.0
