condition_key,t_s,amp_mean,amp_sem,survival_frac,noise_threshold
WT,1.367,0.6984665115497586,0.004251617462695381,1.0,
WT,1.368,0.6974334601460996,0.004295770851688041,1.0,
WT,1.369,0.6968258950298476,0.004294046268080548,1.0,
WT,1.37,0.6955108002727465,0.004339518815134929,1.0,
WT,1.371,0.6943810840308363,0.004365586867128656,1.0,
WT,1.372,0.6933110509370615,0.004379495108932261,1.0,
WT,1.373,0.6921768413639102,0.004405867597620698,1.0,
WT,1.374,0.6907156816717892,0.004447068169342382,1.0,
WT,1.375,0.6895179614209077,0.004455247686635893,1.0,
WT,1.376,0.6878304768029624,0.004500964115698651,1.0,
WT,1.377,0.6861838875391643,0.004543928649823894,1.0,
WT,1.378,0.6851825117990731,0.004543003828901361,1.0,
WT,1.379,0.6837796613806473,0.004557366773070593,1.0,
WT,1.38,0.6824986867033999,0.004554334141569486,1.0,
WT,1.381,0.6812766230353101,0.004551875723081402,1.0,
WT,1.382,0.6795311858082568,0.004560774404581286,1.0,
WT,1.383,0.678041352073842,0.004571417710547301,1.0,
WT,1.384,0.6761460618221693,0.004553877555316424,1.0,
WT,1.385,0.6743777006163805,0.004562034714724735,1.0,
WT,1.386,0.6725972087440908,0.004560429607539558,1.0,
WT,1.387,0.6705561481594208,0.004572824474287026,1.0,
WT,1.388,0.669138404761109,0.0045479897289091645,1.0,
WT,1.389,0.6675637006198424,0.00454119176204975,1.0,
WT,1.39,0.666234926551779,0.004508650049414664,1.0,
WT,1.391,0.6647056113741499,0.004501925525333807,1.0,
WT,1.392,0.663530451012286,0.004510638629756873,1.0,
WT,1.393,0.6617415126407118,0.0045060185195775065,1.0,
WT,1.394,0.6600698441264159,0.004501964896110154,1.0,
WT,1.395,0.6584464653820522,0.004475948612901572,1.0,
WT,1.396,0.6568925698700434,0.004459111663672218,1.0,
WT,1.397,0.6550976407456435,0.004432593796444393,1.0,
WT,1.398,0.6533928849141545,0.004405172984245383,1.0,
WT,1.399,0.652092611680684,0.004376025893159097,1.0,
WT,1.4,0.6506848455642731,0.004354878448702455,1.0,
WT,1.401,0.6494831802166502,0.0043274679267174074,1.0,
WT,1.402,0.6484056466103639,0.004310655110899204,1.0,
WT,1.403,0.6467183883468082,0.004294217509917193,1.0,
