condition_key,w_inter,trial_idx,seed,a_hat_value
WT,2.0,11,2095133045,0.03315358128046409
WT,2.0,11,2095133045,0.04469258397892469
WT,2.0,11,2095133045,0.01785292431983468
WT,2.0,11,2095133045,0.02979321981167948
WT,2.0,11,2095133045,0.04355964221039003
WT,2.0,11,2095133045,0.03959924562579309
WT,2.0,11,2095133045,0.03609928993297496
WT,2.0,11,2095133045,0.029565814039994143
WT,2.0,11,2095133045,0.06481176710850936
WT,2.0,11,2095133045,0.04937321206876245
WT,2.0,11,2095133045,0.07237328956651384
WT,2.0,11,2095133045,0.027910522557531608
WT,2.0,11,2095133045,0.025963547348556788
WT,2.0,11,2095133045,0.054238601345917486
WT,2.0,11,2095133045,0.039044487863193325
WT,2.0,11,2095133045,0.03000642474514318
WT,2.0,11,2095133045,0.025633476002503156
WT,2.0,11,2095133045,0.027972057561686012
WT,2.0,11,2095133045,0.0406253104545788
WT,2.0,11,2095133045,0.03971457108720013
WT,2.0,11,2095133045,0.02415530249015238
WT,2.0,12,1580016183,0.04387800803511343
WT,2.0,12,1580016183,0.029603321415361445
WT,2.0,12,1580016183,0.041066452467812584
WT,2.0,12,1580016183,0.05524012257444572
WT,2.0,12,1580016183,0.02293566493101493
WT,2.0,12,1580016183,0.019777157129735393
WT,2.0,12,1580016183,0.07443138135660038
WT,2.0,12,1580016183,0.0361166338530782
WT,2.0,12,1580016183,0.030691882995461293
WT,2.0,12,1580016183,0.04928958066932381
WT,2.0,12,1580016183,0.03591479517174652
WT,2.0,12,1580016183,0.04721229398278867
WT,2.0,12,1580016183,0.03980255400475651
WT,2.0,12,1580016183,0.03385184480691963
WT,2.0,12,1580016183,0.029862333628086588
WT,2.0,12,1580016183,0.03984913084277181
WT,2.0,12,1580016183,0.062306686542766256
WT,2.0,12,1580016183,0.033672532299074485
WT,2.0,12,1580016183,0.03687289846516549
WT,2.0,12,1580016183,0.013716319553986115
WT,2.0,12,1580016183,0.05906607544327426
WT,2.0,12,1580016183,0.046045224463296376
WT,2.0,12,1580016183,0.018947976754821735
WT,2.0,12,1580016183,0.05420372609814088
WT,2.0,12,1580016183,0.01569440006384919
WT,2.0,12,1580016183,0.04387800803511343
WT,2.0,13,1634535062,0.032571486046746284
WT,2.0,13,1634535062,0.05391464229712473
WT,2.0,13,1634535062,0.023635561591084736
WT,2.0,13,1634535062,0.00976347588578457
WT,2.0,13,1634535062,0.056776966076781996
WT,2.0,13,1634535062,0.03672768788395388
WT,2.0,13,1634535062,0.022348248927793062
WT,2.0,13,1634535062,0.030202279487750228
WT,2.0,13,1634535062,0.018577762146815446
WT,2.0,13,1634535062,0.013544535756190145
WT,2.0,13,1634535062,0.045994297353306686
WT,2.0,13,1634535062,0.026629370236570447
WT,2.0,13,1634535062,0.02794735223983013
WT,2.0,13,1634535062,0.04549044329183103
WT,2.0,13,1634535062,0.04089119535314205
WT,2.0,13,1634535062,0.022373876338682885
WT,2.0,13,1634535062,0.010497586302106175
WT,2.0,13,1634535062,0.01549992469818493
WT,2.0,13,1634535062,0.021875873890898616
WT,2.0,13,1634535062,0.05932599874274408
WT,2.0,13,1634535062,0.011702686984875896
WT,2.0,13,1634535062,0.04368210191438933
WT,2.0,13,1634535062,0.005617331633977875
WT,2.0,13,1634535062,0.010428456528275778
WT,2.0,13,1634535062,0.0573909955615721
WT,2.0,13,1634535062,0.032571486046746284
WT,2.0,14,1540770719,0.02330218140990614
WT,2.0,14,1540770719,0.02291670984189864
WT,2.0,14,1540770719,0.00868838647785881
WT,2.0,14,1540770719,0.006805187690970812
WT,2.0,14,1540770719,0.036669465294272854
WT,2.0,14,1540770719,0.054531224398250346
WT,2.0,14,1540770719,0.013332887163019795
WT,2.0,14,1540770719,0.053648048126067216
WT,2.0,14,1540770719,0.05109498868546511
WT,2.0,14,1540770719,0.05976401777243372
WT,2.0,14,1540770719,0.03341808015559291
WT,2.0,14,1540770719,0.05108798761851367
WT,2.0,14,1540770719,0.0748409117835639
WT,2.0,14,1540770719,0.01839230340245857
WT,2.0,14,1540770719,0.02945559055665683
WT,2.0,14,1540770719,0.06021780292339535
WT,2.0,14,1540770719,0.036551685549426234
WT,2.0,14,1540770719,0.018724263631952145
WT,2.0,14,1540770719,0.03904031912429961
WT,2.0,14,1540770719,0.025277649587095257
WT,2.0,14,1540770719,0.023897027724274
WT,2.0,14,1540770719,0.014231562818444083
WT,2.0,14,1540770719,0.02525651292811459
WT,2.0,14,1540770719,0.05258547350815116
WT,2.0,14,1540770719,0.019160731708768638
WT,2.0,14,1540770719,0.02330218140990614
WT,2.0,15,1688060240,0.023356061358977522
WT,2.0,15,1688060240,0.03205676943949513
WT,2.0,15,1688060240,0.027271271662886995
WT,2.0,15,1688060240,0.0259582114902951
WT,2.0,15,1688060240,0.02808554818279505
WT,2.0,15,1688060240,0.0688816806573163
WT,2.0,15,1688060240,0.09912360977528875
WT,2.0,15,1688060240,0.01984983590845111
WT,2.0,15,1688060240,0.01575889313550965
WT,2.0,15,1688060240,0.020848756479867548
WT,2.0,15,1688060240,0.023572544126466095
WT,2.0,15,1688060240,0.05760207067409902
WT,2.0,15,1688060240,0.05176495388755971
WT,2.0,15,1688060240,0.027307999834854407
WT,2.0,15,1688060240,0.02871082833434018
WT,2.0,15,1688060240,0.0651320580903054
WT,2.0,15,1688060240,0.012549705905445817
WT,2.0,15,1688060240,0.011719907655836012
WT,2.0,15,1688060240,0.02316955184123721
WT,2.0,15,1688060240,0.05872944957408087
WT,2.0,15,1688060240,0.0057446110541101
WT,2.0,15,1688060240,0.020659730822676164
WT,2.0,15,1688060240,0.04616395885469352
WT,2.0,15,1688060240,0.00833180575285615
WT,2.0,15,1688060240,0.04411162755250955
WT,2.0,15,1688060240,0.023356061358977522
WT,2.0,16,1102145672,0.02549758891147156
WT,2.0,16,1102145672,0.027075143122473277
WT,2.0,16,1102145672,0.03696256738254074
WT,2.0,16,1102145672,0.023152739464220536
WT,2.0,16,1102145672,0.0028396044942377327
WT,2.0,16,1102145672,0.042132609857887575
WT,2.0,16,1102145672,0.0308201948877267
WT,2.0,16,1102145672,0.022504733759214402
WT,2.0,16,1102145672,0.013630088326947013
WT,2.0,16,1102145672,0.06704605740312893
WT,2.0,16,1102145672,0.04415215802894356
