condition,amplitude,distractor_factor,offset_deg,trial_idx,seed,cue_freq_median_hz,cue_power_median,dist_freq_median_hz,dist_power_median,plv_median_delay2
WT,25.0,0.75,70.0,13,1880439445,5.74665065412726,5.844337007367971,5.657919804373308,3.7591490177056497,0.9882816529083986
WT,25.0,0.75,70.0,14,1306372712,5.8945570888042145,6.043995836345456,5.734070148969471,3.9719888249719384,0.9764202642265098
WT,25.0,0.75,70.0,15,2122084012,5.814971714286522,6.161320407415555,5.766655454741715,3.5225131800769582,0.9798039260822764
WT,25.0,0.75,70.0,16,1976297044,5.832611420063705,6.576790509334346,5.659570033749228,3.7383556846441923,0.9759292595313894
WT,25.0,0.75,70.0,17,784548992,5.796614414917395,5.624852722871882,5.722056349367308,3.4648092068610836,0.9862668584318336
WT,25.0,0.75,70.0,18,2121403537,5.759717178282353,6.142160515627437,5.643156292265619,3.7893795252594216,0.9805414206691754
WT,25.0,0.75,70.0,19,347016859,5.772795358324174,5.658427641949435,5.6457012405479245,3.120925423943583,0.9762024481805862
WT,25.0,0.75,70.0,20,527842052,5.75270775179398,5.778985406350734,5.58969947838434,3.753659118611087,0.9700056977901224
WT,25.0,0.75,70.0,21,215409799,5.740906609492905,5.743006947738697,5.6782635864157545,3.7044483811269515,0.9787534939641586
WT,25.0,0.75,70.0,22,350632298,5.766342175843604,5.827933665742801,5.630829555866303,3.374406547913358,0.9780847840771745
