condition_key,lag_s,msd_mean,msd_sem,msd_sd,fit_line
WT,1.1913316582914573,0.008370428375975647,0.0008396799254119705,0.0059374336928501885,0.00860445200128664
WT,1.2022613065326633,0.00815540820860409,0.0008413288142874047,0.005949093097902614,0.008615328650466601
WT,1.2131909547738693,0.008110849825002436,0.0008642340289318158,0.006111057423898579,0.008626205299646562
WT,1.2241206030150753,0.008256557005242486,0.0008781863990927633,0.006209715579442887,0.008637081948826524
WT,1.2350502512562813,0.008535318660266016,0.0008720739360130507,0.0061664939385087155,0.008647958598006485
WT,1.2459798994974873,0.008841423086759266,0.0008703788138583402,0.006154507614803362,0.008658835247186447
WT,1.2569095477386933,0.009116078844265312,0.0008783173694170034,0.0062106416794869305,0.008669711896366408
WT,1.2678391959798994,0.00926595636577427,0.0008918578618076092,0.006306387419386953,0.00868058854554637
WT,1.2787688442211054,0.009274308950294274,0.0009000518974906959,0.006364328001354905,0.008691465194726331
WT,1.2896984924623114,0.009183201855095134,0.0009029875325177591,0.006385086075702156,0.008702341843906293
WT,1.3006281407035174,0.00899253695437677,0.0008978854898196007,0.006349009185804445,0.008713218493086254
WT,1.3115577889447234,0.008810551911621894,0.0008958354610167587,0.006334513293123271,0.008724095142266216
WT,1.3224874371859296,0.008670654421841397,0.0008791716021389385,0.006216682016990848,0.008734971791446177
WT,1.3334170854271357,0.00863734426043129,0.0008736090436787527,0.0061773487889114085,0.008745848440626139
WT,1.3443467336683417,0.008720871506923307,0.0008962557682593298,0.00633748531413731,0.0087567250898061
WT,1.3552763819095477,0.008870528332974905,0.0009274056721923817,0.006557748397181015,0.008767601738986061
WT,1.3662060301507537,0.008992576529046514,0.0009422427884651963,0.0066626626524786195,0.008778478388166023
WT,1.3771356783919597,0.009080618837995416,0.0009643576965133036,0.006819038666939956,0.008789355037345984
WT,1.3880653266331657,0.009114538854412435,0.0009659468553270847,0.006830275716676026,0.008800231686525946
WT,1.3989949748743717,0.00910069993492808,0.0009496263669649968,0.006714872436744941,0.008811108335705907
WT,1.4099246231155778,0.00903537914802189,0.0009249624389154566,0.0065404721289996715,0.008821984984885869
WT,1.4208542713567838,0.009039058309903283,0.0009125225172408466,0.0064525085992642095,0.00883286163406583
WT,1.4317839195979898,0.009127345377841194,0.0009191753648409764,0.006499551335786733,0.008843738283245792
WT,1.4427135678391958,0.009265294140890203,0.00094034950877849,0.006649275143427092,0.008854614932425755
WT,1.4536432160804018,0.009446263050973798,0.0009792201713661555,0.006924132234476617,0.008865491581605715
WT,1.4645728643216078,0.009624986830183391,0.0010304762308528236,0.007286567306875858,0.008876368230785678
WT,1.4755025125628138,0.009742369376015985,0.0010784074483616085,0.007625492196185749,0.008887244879965638
WT,1.48643216080402,0.009722377113428065,0.0010815163268381894,0.007647475286712502,0.0088981215291456
WT,1.497361809045226,0.00964024562270617,0.0010612120399595174,0.007503902297321843,0.008908998178325562
WT,1.508291457286432,0.009518365058987698,0.001028987291542667,0.007276038916045989,0.008919874827505524
WT,1.5192211055276381,0.009332848916900772,0.0009986127537287195,0.007061258499409493,0.008930751476685485
WT,1.5301507537688441,0.009145704245126191,0.000987491964594575,0.006982622645320501,0.008941628125865447
WT,1.5410804020100501,0.009035794866954284,0.0009946435057683251,0.007033191677919436,0.008952504775045408
WT,1.5520100502512562,0.00908663777261836,0.001019078583021504,0.007205973766164836,0.00896338142422537
WT,1.5629396984924622,0.009284355379407944,0.00105671393623019,0.007472095900826963,0.008974258073405331
WT,1.5738693467336682,0.00946689625624033,0.0010489551569099296,0.007417233046116102,0.008985134722585292
