condition_key,t_s,amp_mean,amp_sem,survival_frac,noise_threshold
WT,2.88,0.4642826152441867,0.0028198757264832177,1.0,
WT,2.885,0.46244040980873835,0.0028150134053172553,1.0,
WT,2.89,0.46163979581792985,0.0027182032540618507,1.0,
WT,2.895,0.46138898679026086,0.0027147428385092447,1.0,
WT,2.9,0.4614123931479657,0.00274219519686429,1.0,
WT,2.905,0.4614064902718582,0.002826566794837192,1.0,
WT,2.91,0.46228706884601223,0.0026806237149043233,1.0,
WT,2.915,0.4626821468026689,0.002792089173774652,1.0,
WT,2.92,0.46219965503874805,0.0027353435988175623,1.0,
WT,2.925,0.462248085128841,0.002685831285409957,1.0,
WT,2.93,0.4619130690167889,0.0024883053588806814,1.0,
WT,2.935,0.46087799311324984,0.002465092898426038,1.0,
WT,2.94,0.4591609151619338,0.0024733001798374994,1.0,
WT,2.945,0.45734903550533085,0.002317124372348977,1.0,
WT,2.95,0.4566317773420932,0.002060027370844908,1.0,
WT,2.955,0.4558338419781915,0.0022409203926454196,1.0,
WT,2.96,0.4549260396585348,0.002360792803476906,1.0,
WT,2.965,0.453814968148925,0.002567781929244122,1.0,
WT,2.97,0.45278370948514124,0.0025929675300113645,1.0,
WT,2.975,0.45231644635857854,0.0026493669452229162,1.0,
WT,2.98,0.4520224313820901,0.002473582768546324,1.0,
WT,2.985,0.45143041028928826,0.002399978898613401,1.0,
WT,2.99,0.4522892224809597,0.0024165827011567876,1.0,
WT,2.995,0.4537378279637073,0.0024394834346070553,1.0,
WT,3.0,0.45416970790199396,0.0023861438656290826,1.0,
WT,3.005,0.45627376456484514,0.0025487535064094764,1.0,
WT,3.01,0.4591003985911987,0.002615524318860635,1.0,
WT,3.015,0.4592749772683832,0.0025523753742423575,1.0,
WT,3.02,0.45979798581376174,0.0025185992424202647,1.0,
WT,3.025,0.4601587798019796,0.0025138421053387244,1.0,
WT,3.03,0.46028270887305994,0.0024481724792290637,1.0,
WT,3.035,0.4605117318004194,0.002595891285325278,1.0,
WT,3.04,0.4598387726879485,0.002471893632814321,1.0,
WT,3.045,0.45817769216532056,0.002469395512573833,1.0,
WT,3.05,0.4578930105761689,0.002522852021730108,1.0,
WT,3.055,0.4565886258015869,0.0024534766355033258,1.0,
WT,3.06,0.4559329360891343,0.002527789429812672,1.0,
WT,3.065,0.4548959825950248,0.0024078240486668148,1.0,
WT,3.07,0.4539581093428487,0.002343338824040198,1.0,
WT,3.075,0.4523427345178892,0.0024237579401701886,1.0,
WT,3.08,0.4498929359421451,0.002305640340134678,1.0,
WT,3.085,0.4490959298263986,0.002258555356047231,1.0,
WT,3.09,0.4481900733932304,0.0022325789434684317,1.0,
WT,3.095,0.4462480207631289,0.002358343980444486,1.0,
WT,3.1,0.4456994771363971,0.002452018545775631,1.0,
WT,3.105,0.44637217799580803,0.0024392756084443117,1.0,
WT,3.11,0.44579901450813,0.0023781361686210285,1.0,
WT,3.115,0.4471989386621772,0.00229156733463741,1.0,
WT,3.12,0.4468205641195201,0.0021167642634942175,1.0,
WT,3.125,0.4466053834421371,0.0021294520789302477,1.0,
WT,3.13,0.4469368004639436,0.002168782909049794,1.0,
WT,3.135,0.4469628591598663,0.0022778343547176015,1.0,
