offset_deg,amp_factor,trial_idx,cue_peak_amp_pre,cue_peak_amp_post,dist_peak_amp_pre,dist_peak_amp_post,merged_fraction_pre,merged_fraction_post,trough_depth_pre,trough_depth_post,osc_freq_pre_hz,osc_freq_post_hz
120.0,1.0,7,11.711316312480331,5.53652063511063,0.6416238501634106,7.738440261462191,0.0,0.0,0.08651445583444548,2.333043677210065,5.97014925373041,6.96517412935462
120.0,1.0,9,12.081110217009854,7.063371869336042,0.5893451450826744,7.915147624281259,0.0,0.0,0.0651396613058995,3.5621167286697815,5.97014925373041,6.96517412935462
120.0,1.0,8,11.981747571105549,6.974737892026302,0.60511155934606,7.9600968859544805,0.0,0.0,0.045434951800973,3.2689704900840795,5.97014925373041,6.96517412935462
170.0,0.75,0,12.052523846543782,6.397827399454307,0.6297113489476261,4.189004663148796,0.0,0.0,0.0040743837079920625,0.04708466866022047,5.97014925373041,6.96517412935462
170.0,0.75,1,11.747782614698952,5.275104297012015,0.5897771150441373,3.932729612137653,0.0,0.0,0.006880041358930252,0.03399202315691598,5.97014925373041,4.975124378110443
170.0,0.75,4,11.776757892053622,6.0066896038915045,0.6416443816602665,4.08641637194682,0.0,0.0,0.009188465342175395,0.05986224458013695,5.97014925373041,5.970149253732531
170.0,0.75,3,11.940534131149846,6.501517395001578,0.6936559561559428,3.8218781714536334,0.0,0.0,0.021304587067627823,0.04403899612673198,5.97014925373041,6.96517412935462
170.0,0.75,2,11.830242485726554,5.531762394107093,0.6797924352151506,3.4817885067024283,0.0,0.0,0.015521803841781093,0.036713763759008075,5.97014925373041,10.945273631842973
170.0,0.75,6,11.754295271303581,6.109572183982282,0.6326882043264958,4.355678345878344,0.0,0.0,0.011188471546555048,0.04960886626327596,5.97014925373041,6.96517412935462
170.0,0.75,5,11.752879706525977,6.105915572313462,0.5973195646270886,4.053058039525636,0.0,0.0,0.004646098579091271,0.05147725280551032,5.97014925373041,6.96517412935462
170.0,0.75,7,11.711316312480331,5.609763809373075,0.6804121385433972,4.230088928817301,0.0,0.0,0.008088320334610957,0.09052164147169771,5.97014925373041,10.945273631842973
