condition_key,offset_deg,trial_idx,seed,displacement_rad,pre_amp,post_amp
WT,20.0,12,1580016183,-0.07878543741332544,0.28137797986750157,0.24707954765207096
WT,20.0,13,1634535062,-0.12776266514256163,0.2711128415304091,0.2778991297364107
WT,20.0,14,1540770719,-0.17156840391650396,0.254739431051053,0.2527020277782957
WT,20.0,15,1688060240,-0.10504369075003428,0.29178397526954364,0.22430882372203492
WT,20.0,16,1102145672,-0.16203148835220782,0.27990087888155285,0.24757778648159534
WT,20.0,17,275121930,-0.05119512701160245,0.2882133059344484,0.1577400233301644
WT,20.0,18,1803345590,-0.13070778277462702,0.28657206391041734,0.2307727146670838
WT,20.0,19,967196436,-0.025719280549272305,0.26969135292789354,0.18561448489445703
WT,20.0,20,1074497555,-0.3094161176052044,0.28305618594401616,0.20206548612594744
WT,20.0,21,796282693,-0.07285512432534258,0.2942934465771388,0.23914270380837213
WT,20.0,22,392022359,-0.1593831160654653,0.2503966268938257,0.22628452477297728
WT,20.0,23,1990212658,-0.1267702088546483,0.26365332229444255,0.30749620702057473
WT,20.0,24,1678403330,-0.17087656497483072,0.2819994289334609,0.2835567198832856
WT,20.0,25,1382689815,-0.03556983571275785,0.2996309795889796,0.3056396504492904
WT,20.0,26,864178266,-0.09718056139645048,0.24271523988017768,0.18393998509474765
WT,20.0,27,1766867109,0.028296341956583593,0.3021363199781875,0.283634547993549
WT,20.0,28,1171300112,-0.17711895806606792,0.25366484615973994,0.22197313221464002
WT,20.0,29,952224740,-0.23112620447296628,0.2846868197878826,0.2659458318591283
WT,20.0,30,967354524,-0.19085960689390902,0.27148150216128225,0.19494059671024824
WT,20.0,31,487991438,-0.07770296005990796,0.30528249424064274,0.26077661084322096
WT,20.0,32,197860368,-0.0289854772973146,0.30456008165201287,0.24763736128266423
WT,20.0,33,1190961760,0.0167736578580997,0.26112351866774297,0.1865303936236439
WT,20.0,34,1906728918,0.10252489807346876,0.2594654829178585,0.20459249017128048
WT,20.0,35,137046513,-0.08930821663984734,0.2848762036912776,0.2392382307569692
