condition_key,offset_deg,amp_factor,n_trials,drift_mean_deg,drift_sd_deg,drift_sem_deg,collapse_prob,pre_amp_mean,post_amp_mean,distractor_duration_ms,delay1_ms,delay2_ms,cue_amp_factor
WT,60,1.0,10,0.06449055152308432,4.628047628399104,1.4635171625481735,0.0,0.2422131581814754,0.23966941469248973,250.0,1000.0,1000.0,15.0
WT,60,1.25,10,-4.796628656267533,5.118109326624655,1.6184882785884571,0.0,0.2422131581814754,0.23149172600897097,250.0,1000.0,1000.0,15.0
WT,60,1.5,10,-8.064152272050631,5.518478456789752,1.7450961142026704,0.0,0.2422131581814754,0.22560835938603369,250.0,1000.0,1000.0,15.0
WT,80,0.5,10,20.53282697741536,4.853581571066725,1.5348372573989248,0.0,0.2422131581814754,0.2449869768273592,250.0,1000.0,1000.0,15.0
WT,80,0.75,10,11.716765904122257,4.204789106136268,1.3296710656054087,0.0,0.2422131581814754,0.2370492608219225,250.0,1000.0,1000.0,15.0
WT,80,1.0,10,5.1898516266065196,3.5874437314114345,1.1344493168953471,0.0,0.2422131581814754,0.23499444060295174,250.0,1000.0,1000.0,15.0
WT,80,1.25,10,1.1482484612283899,3.1324221856011305,0.9905588699742264,0.0,0.2422131581814754,0.23498701180781426,250.0,1000.0,1000.0,15.0
WT,80,1.5,10,-1.4166076444578866,2.6714170111384834,0.8447762335317008,0.0,0.2422131581814754,0.2351059797933402,250.0,1000.0,1000.0,15.0
WT,100,0.5,10,22.96300643453258,4.607069436899812,1.456883275915279,0.0,0.2422131581814754,0.21392834935258334,250.0,1000.0,1000.0,15.0
WT,100,0.75,10,13.325888662871463,3.5479306310446943,1.1219541774379738,0.0,0.2422131581814754,0.2166694093706933,250.0,1000.0,1000.0,15.0
WT,100,1.0,10,6.342904363748238,2.909808717568692,0.9201623102930675,0.0,0.2422131581814754,0.22211615797452938,250.0,1000.0,1000.0,15.0
WT,100,1.25,10,2.4310431734111932,2.738178115829781,0.865887948525046,0.0,0.2422131581814754,0.2265564417571356,250.0,1000.0,1000.0,15.0
WT,100,1.5,10,0.22221398700724349,2.621495538171578,0.8289896776591064,0.0,0.2422131581814754,0.22952417197853672,250.0,1000.0,1000.0,15.0
WT,130,0.5,10,19.145583573822655,4.143886901460809,1.3104120974753883,0.0,0.2422131581814754,0.17476739989112794,250.0,1000.0,1000.0,15.0
WT,130,0.75,10,10.666939380452803,4.396240608023123,1.3902133463476574,0.0,0.2422131581814754,0.1935120651134991,250.0,1000.0,1000.0,15.0
WT,130,1.0,10,5.445610611589531,4.6781865010514965,1.4793724662376422,0.0,0.2422131581814754,0.2090375952939191,250.0,1000.0,1000.0,15.0
WT,130,1.25,10,2.724323523940692,4.738022322427524,1.498294214359166,0.0,0.2422131581814754,0.21852791198562768,250.0,1000.0,1000.0,15.0
WT,130,1.5,10,1.3336990062216298,4.649064427210084,1.470163257884995,0.0,0.2422131581814754,0.22375808285890844,250.0,1000.0,1000.0,15.0
WT,150,0.5,10,13.66833968509481,4.459529755161529,1.4102271319603463,0.0,0.2422131581814754,0.15457028522896085,250.0,1000.0,1000.0,15.0
WT,150,0.75,10,6.795093150523326,4.003146722614604,1.2659061451300424,0.0,0.2422131581814754,0.18328539874325003,250.0,1000.0,1000.0,15.0
WT,150,1.0,10,3.16652816907888,3.8633095204776082,1.2216857390922153,0.0,0.2422131581814754,0.20457986578342072,250.0,1000.0,1000.0,15.0
WT,150,1.25,10,1.5165777072895352,3.8200182360195174,1.2079958329200338,0.0,0.2422131581814754,0.2164361558642968,250.0,1000.0,1000.0,15.0
WT,150,1.5,10,0.7248583138176222,3.854304463702339,1.2188380901053173,0.0,0.2422131581814754,0.22258816278125093,250.0,1000.0,1000.0,15.0
WT,180,0.5,10,-0.38260528304004654,5.099043395603955,1.61245910181475,0.0,0.2422131581814754,0.141624157956639,250.0,1000.0,1000.0,15.0
WT,180,0.75,10,-0.14006296206687674,4.290820983676785,1.3568767340462808,0.0,0.2422131581814754,0.1750496440587728,250.0,1000.0,1000.0,15.0
WT,180,1.0,10,-0.08834357572607746,3.9327564356017684,1.2436467819186894,0.0,0.2422131581814754,0.200422267779011,250.0,1000.0,1000.0,15.0
WT,180,1.25,10,-0.06456857167394459,3.778082828832875,1.1947346927883955,0.0,0.2422131581814754,0.2144497697539276,250.0,1000.0,1000.0,15.0
WT,180,1.5,10,-0.0332734171356913,3.703472614583577,1.1711408714143023,0.0,0.2422131581814754,0.22124865559900017,250.0,1000.0,1000.0,15.0
