condition,w_inter,trial_idx,seed,A_hat,noise_percentile,noise_threshold
WT,4,106,40548,0.0195000751,95,0.1187718425
WT,4,107,40549,0.03102796792,95,0.1187718425
WT,4,108,40550,0.1098653531,95,0.1187718425
WT,4,109,40551,0.1159306465,95,0.1187718425
WT,4,110,40552,0.0915342202,95,0.1187718425
WT,4,111,40553,0.04544812701,95,0.1187718425
WT,4,112,40554,0.1008336799,95,0.1187718425
WT,4,113,40555,0.08170113704,95,0.1187718425
WT,4,114,40556,0.01556403827,95,0.1187718425
WT,4,115,40557,0.009724634442,95,0.1187718425
WT,4,116,40558,0.04459017432,95,0.1187718425
WT,4,117,40559,0.1026281907,95,0.1187718425
WT,4,118,40560,0.03564605982,95,0.1187718425
WT,4,119,40561,0.09237077227,95,0.1187718425
WT,4,120,40562,0.05357186101,95,0.1187718425
WT,4,121,40563,0.1128520742,95,0.1187718425
WT,4,122,40564,0.02554230654,95,0.1187718425
WT,4,123,40565,0.03995344698,95,0.1187718425
WT,4,124,40566,0.02609900393,95,0.1187718425
WT,4,125,40567,0.06456411296,95,0.1187718425
WT,4,126,40568,0.01385494425,95,0.1187718425
WT,4,127,40569,0.07930110087,95,0.1187718425
WT,4,128,40570,0.01512820285,95,0.1187718425
WT,4,129,40571,0.136424596,95,0.1187718425
WT,4,130,40572,0.09054652889,95,0.1187718425
WT,4,131,40573,0.1370863924,95,0.1187718425
WT,4,132,40574,0.1298112161,95,0.1187718425
WT,4,133,40575,0.01515835267,95,0.1187718425
WT,4,134,40576,0.04610428287,95,0.1187718425
WT,4,135,40577,0.02165943969,95,0.1187718425
WT,4,136,40578,0.02710587968,95,0.1187718425
WT,4,137,40579,0.02677892777,95,0.1187718425
WT,4,138,40580,0.09220761172,95,0.1187718425
WT,4,139,40581,0.04560140895,95,0.1187718425
WT,4,140,40582,0.05053365905,95,0.1187718425
WT,4,141,40583,0.0925053387,95,0.1187718425
WT,4,142,40584,0.06704197094,95,0.1187718425
WT,4,143,40585,0.1211515315,95,0.1187718425
WT,4,144,40586,0.02990820617,95,0.1187718425
WT,4,145,40587,0.05070698924,95,0.1187718425
WT,4,146,40588,0.01326852084,95,0.1187718425
WT,4,147,40589,0.0668945262,95,0.1187718425
WT,4,148,40590,0.04994125155,95,0.1187718425
WT,4,149,40591,0.09103668377,95,0.1187718425
WT,4,150,40592,0.07331911304,95,0.1187718425
WT,4,151,40593,0.0640957859,95,0.1187718425
WT,4,152,40594,0.06175502133,95,0.1187718425
WT,4,153,40595,0.1052163599,95,0.1187718425
WT,4,154,40596,0.1330604551,95,0.1187718425
WT,4,155,40597,0.02467601193,95,0.1187718425
WT,4,156,40598,0.04470052622,95,0.1187718425
WT,4,157,40599,0.06661401797,95,0.1187718425
WT,4,158,40600,0.03617646146,95,0.1187718425
WT,4,159,40601,0.06659983952,95,0.1187718425
WT,4,160,40602,0.06832847043,95,0.1187718425
WT,4,161,40603,0.05986897384,95,0.1187718425
WT,4,162,40604,0.01701403746,95,0.1187718425
WT,4,163,40605,0.07536001308,95,0.1187718425
WT,4,164,40606,0.01691509302,95,0.1187718425
WT,4,165,40607,0.054381465,95,0.1187718425
WT,4,166,40608,0.1324772118,95,0.1187718425
WT,4,167,40609,0.03962212856,95,0.1187718425
