condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,5.0,4,2,1405681631,0.08184624357400797,4.989949364009727,189.66620152507664,9.666201525076644
WT,5.0,4,1,1662057957,0.06294302874652327,5.324581873844288,150.2219005801217,29.778099419878288
WT,5.0,4,4,929893137,0.04980540597903536,5.101931654640082,181.15770572211244,1.1577057221124392
WT,5.0,4,6,184566854,0.050390229094664805,5.321880750219112,165.44297306389424,14.557026936105757
WT,5.0,4,7,1497586438,0.07297891984627998,5.101485660777924,187.20076391043835,7.200763910438354
WT,5.0,4,5,1843824992,0.067623809664794,5.742780651800345,191.11098904321565,11.110989043215653
WT,5.0,4,8,432652533,0.08506245595814409,5.067718515189499,178.13454647470925,1.8654535252907465
WT,5.0,4,10,1130604997,0.09497863575366337,5.476981448006185,165.89494026996508,14.105059730034924
WT,5.0,4,11,2095133045,0.06161612790079028,5.483129139758401,188.20102972354823,8.201029723548231
WT,5.0,4,9,202244314,0.05982871141595885,5.412864636089109,186.24800234030462,6.248002340304623
WT,5.0,4,12,1580016183,0.0732053649758602,5.182040675163259,214.08784399799052,34.08784399799052
WT,5.0,4,13,1634535062,0.08810886670546968,5.355139056897949,163.7015344652694,16.29846553473061
WT,5.0,4,15,1688060240,0.046985080728290524,5.202346974551693,213.0994165478791,33.09941654787909
WT,5.0,4,14,1540770719,0.06036498027406516,5.012074002420852,173.27845113720082,6.721548862799182
WT,5.0,4,16,1102145672,0.06788914379830334,5.373741439009059,170.35944243592002,9.640557564079984
WT,5.0,4,18,1803345590,0.09427729866511671,5.213423181738942,182.06178590470915,2.0617859047091542
WT,5.0,4,17,275121930,0.06685643351700568,5.429762429729009,202.9707367487228,22.9707367487228
WT,5.0,4,19,967196436,0.046518788685200214,5.203603332180089,201.42361856733177,21.423618567331772
WT,5.0,4,20,1074497555,0.06778359105847746,5.543249695322099,206.70310186927315,26.703101869273155
WT,5.0,4,21,796282693,0.07785492733347701,5.51698518142518,171.9097183134258,8.090281686574201
WT,5.0,4,22,392022359,0.05012198994480395,5.408274079740468,165.8850409527049,14.114959047295088
WT,5.0,4,23,1990212658,0.08545612383713798,5.382727047161175,178.8851126231551,1.114887376844905
WT,5.0,4,25,1382689815,0.08758246811672221,5.160302102815358,202.78580235394244,22.785802353942444
WT,5.0,4,24,1678403330,0.08223867538945556,5.275556821986623,156.26271102394455,23.737288976055453
WT,5.0,4,26,864178266,0.046317670254743926,5.226309442771791,152.13418850916472,27.865811490835284
WT,5.0,4,27,1766867109,0.017063709370616954,5.399682723443193,172.11923953711067,7.880760462889327
WT,5.0,4,28,1171300112,0.04761219165287789,5.28068866395671,166.28495177469432,13.71504822530568
WT,5.0,4,29,952224740,0.07554449537030819,5.387188276438975,189.00224952667352,9.002249526673523
WT,5.0,4,31,487991438,0.07750123247228875,5.431392087417818,155.34563905564528,24.65436094435472
WT,5.0,4,30,967354524,0.06000018643883001,5.058924588516044,189.89772726364924,9.897727263649244
WT,5.0,4,32,197860368,0.06978337520345151,5.04940066163725,160.94613878609545,19.053861213904554
WT,5.0,4,34,1906728918,0.0434767629055613,5.229644861255185,169.86908645220902,10.130913547790982
WT,5.0,4,35,137046513,0.06628682150541663,5.178432638262137,194.23939683617908,14.239396836179083
WT,5.0,4,33,1190961760,0.09986876666693473,5.53072449993815,190.46050181069216,10.460501810692165
WT,5.0,4,37,1777324407,0.06717746335638691,5.1773039095229025,184.73648238878917,4.73648238878917
WT,5.0,4,39,1356488967,0.055893386425852024,5.306233250232314,171.33537601320782,8.66462398679218
WT,5.0,4,36,1843166518,0.0962822443061158,5.3896433001300235,186.57030298642786,6.570302986427862
WT,5.0,4,38,594336917,0.08492470699647765,5.1092745140683435,154.1759965941688,25.824003405831206
WT,5.0,4,40,354826746,0.03959535308228413,5.336822949972449,193.72026739373382,13.72026739373382
WT,5.0,4,41,1627981024,0.09721957673743087,5.362136879724959,189.42578913352497,9.425789133524972
WT,5.0,4,43,761338718,0.04303378125200422,5.513985626463144,185.9666486843274,5.966648684327396
WT,5.0,4,42,1504361614,0.021836860079550775,5.085570245182152,184.79062982435386,4.790629824353857
WT,5.0,4,44,145857092,0.04664372199678696,5.106701004364629,186.9310078086068,6.931007808606807
WT,5.0,4,45,2084558133,0.10163466733684828,5.411646086224646,194.86879165229334,14.86879165229334
WT,5.0,4,46,957106589,0.05651560017554323,5.522876639929969,165.569892144712,14.430107855288014
WT,5.0,4,47,1917963002,0.04793148618685188,5.283482474315837,171.74942251167633,8.250577488323671
WT,5.0,4,48,1455819991,0.08528399792307757,5.438208487340777,163.66582882997403,16.334171170025968
WT,5.0,4,49,1671565830,0.06287772923425887,5.6451524150097265,189.13014335464538,9.130143354645384
WT,5.0,4,50,1631871623,0.04372782597157231,5.04343063945086,138.33485106044574,41.66514893955426
WT,5.0,4,51,417983441,0.04086799081072133,5.417972622365378,209.16571737071294,29.16571737071294
WT,5.0,4,52,781482251,0.07875257807359724,5.571514469416263,182.1014375950681,2.1014375950680915
WT,5.0,4,53,1002275723,0.09371787661194514,5.36145598122767,183.3745323281165,3.374532328116487
WT,5.0,4,54,1068999196,0.054715759609737624,5.631494123817137,192.33461333249517,12.334613332495167
WT,5.0,4,55,94067870,0.07540182131446911,5.630606682886065,179.5080830434379,0.49191695656210754
WT,5.0,4,56,1173749071,0.046200075524583537,5.351807292876157,175.13999892999252,4.860001070007485
WT,5.0,4,57,331334160,0.07599832122875697,5.494679816442656,147.36150517285262,32.63849482714738
WT,5.0,4,58,1596387604,0.05763546542720901,5.106095682983145,148.82791766542948,31.17208233457052
WT,5.0,4,59,1466836456,0.0628772974415972,5.3414234696153615,174.8414372367722,5.158562763227792
WT,5.0,4,60,1981113449,0.06730537859423703,5.516233986065163,176.73724535589935,3.262754644100653
WT,5.0,4,61,1599364550,0.08479918547902214,5.432324571239792,189.08739526431322,9.087395264313216
WT,5.0,4,62,787359109,0.05253310523414718,5.163839069362173,163.43198669837352,16.56801330162648
WT,5.0,4,63,2077711328,0.060078355003958216,5.232233035864875,169.66761615191282,10.332383848087176
WT,5.0,4,64,882294416,0.054498231443021496,5.200184061228262,179.6003499802639,0.39965001973610015
WT,5.0,4,65,699704628,0.08342147616762977,5.561325826723567,175.44074578323435,4.559254216765652
WT,5.0,4,66,1944623248,0.0529427872874154,5.835170498512293,175.40162937287016,4.598370627129839
WT,5.0,4,67,795556160,0.07277602778910983,5.441009442962605,183.87881983693504,3.878819836935037
WT,5.0,4,68,163945743,0.037027639825938145,5.3232318199358835,188.07002953514186,8.070029535141856
WT,5.0,4,69,1008363426,0.08595121596967623,5.0669047182507585,184.73224606804658,4.732246068046578
WT,5.0,4,70,1708709735,0.07000834598718425,5.687962511104981,171.11812502082168,8.88187497917832
WT,5.0,4,71,406886644,0.10472930036663211,5.117488191961722,177.6721258834713,2.3278741165287045
